"","id","face","type","roi","beta"
"91","004","F2","diagdiff","F2diagdiff_insula_l",-0.0912171
"92","004","F2","diagdiff","undiagdiff_IFG_l",-0.0416692
"93","004","F2","diagdiff","undiagdiff_insula_l",-0.0946229
"94","004","F2","diagdiff","undiagdiff_insula_r",-0.061162
"95","004","F2","diagdiff","undiagdiff_IPL_l",-0.0526466
"96","004","F2","diagdiff","undiagdiff_precuneus",-0.0503763
"97","006","F1","diag","chdiag_PCG_l",0.0331452
"98","006","F1","diag","chdiagdiff_HC_l",0.0648892
"99","006","F1","diag","F2diagdiff_insula_l",0.0588396
"100","006","F1","diag","undiagdiff_IFG_l",0.0819488
"101","006","F1","diag","undiagdiff_insula_l",0.0712931
"102","006","F1","diag","undiagdiff_insula_r",0.0646218
"103","006","F1","diag","undiagdiff_IPL_l",0.00106356
"104","006","F1","diag","undiagdiff_precuneus",0.108903
"105","006","F2","diag","chdiag_PCG_l",0.00920524
"106","006","F2","diag","chdiagdiff_HC_l",0.0161363
"107","006","F2","diag","F2diagdiff_insula_l",-0.0445621
"108","006","F2","diag","undiagdiff_IFG_l",-0.0741882
"109","006","F2","diag","undiagdiff_insula_l",-0.0509396
"110","006","F2","diag","undiagdiff_insula_r",-0.0507155
"111","006","F2","diag","undiagdiff_IPL_l",-0.0425562
"112","006","F2","diag","undiagdiff_precuneus",-0.0443118
"113","006","F2","diagdiff","chdiag_PCG_l",0.0774356
"114","006","F2","diagdiff","chdiagdiff_HC_l",-0.0169907
"115","006","F2","diagdiff","F2diagdiff_insula_l",0.0380521
"116","006","F2","diagdiff","undiagdiff_IFG_l",-0.0411619
"117","006","F2","diagdiff","undiagdiff_insula_l",-0.00675682
"118","006","F2","diagdiff","undiagdiff_insula_r",0.0194378
"119","006","F2","diagdiff","undiagdiff_IPL_l",-0.117961
"120","006","F2","diagdiff","undiagdiff_precuneus",0.012286
"121","007","F1","diag","chdiag_PCG_l",0.0332459
"122","007","F1","diag","chdiagdiff_HC_l",0.036165
"123","007","F1","diag","F2diagdiff_insula_l",0.0552899
"124","007","F1","diag","undiagdiff_IFG_l",0.100654
"125","007","F1","diag","undiagdiff_insula_l",0.0534408
"126","007","F1","diag","undiagdiff_insula_r",0.0481167
"127","007","F1","diag","undiagdiff_IPL_l",-0.0149273
"128","007","F1","diag","undiagdiff_precuneus",0.0812149
"129","007","F2","diag","chdiag_PCG_l",-0.0455503
"130","007","F2","diag","chdiagdiff_HC_l",-0.00209092
"131","007","F2","diag","F2diagdiff_insula_l",-0.026261
"132","007","F2","diag","undiagdiff_IFG_l",-0.0302059
"133","007","F2","diag","undiagdiff_insula_l",-0.0371566
"134","007","F2","diag","undiagdiff_insula_r",-0.0336753
"135","007","F2","diag","undiagdiff_IPL_l",-0.0442071
"136","007","F2","diag","undiagdiff_precuneus",-0.046485
"137","007","F2","diagdiff","chdiag_PCG_l",0.087958
"138","007","F2","diagdiff","chdiagdiff_HC_l",-0.116046
"139","007","F2","diagdiff","F2diagdiff_insula_l",-0.0857613
"140","007","F2","diagdiff","undiagdiff_IFG_l",-0.0141283
"141","007","F2","diagdiff","undiagdiff_insula_l",-0.0383596
"142","007","F2","diagdiff","undiagdiff_insula_r",-0.196907
"143","007","F2","diagdiff","undiagdiff_IPL_l",-0.0218626
"144","007","F2","diagdiff","undiagdiff_precuneus",-0.302098
"145","009","F1","diag","chdiag_PCG_l",-0.0661365
"146","009","F1","diag","chdiagdiff_HC_l",-0.151231
