,id,face,type,roi,beta
1415,24,F2,rel,chirrel_MFG_r,-0.0374488
1429,25,F1,irrel,chirrel_MFG_r,-0.0488394
1443,25,F1,rel,chirrel_MFG_r,-0.0274104
1457,25,F2,D,chirrel_MFG_r,-0.061917
1471,25,F2,I,chirrel_MFG_r,0.0308257
1485,25,F2,irrel,chirrel_MFG_r,-0.0432163
1499,25,F2,rel,chirrel_MFG_r,0.00474844
1513,26,F1,irrel,chirrel_MFG_r,-0.00755429
1527,26,F1,rel,chirrel_MFG_r,-0.00289214
1541,26,F2,D,chirrel_MFG_r,-0.0183812
1555,26,F2,I,chirrel_MFG_r,-0.0327056
1569,26,F2,irrel,chirrel_MFG_r,-0.0814542
1583,26,F2,rel,chirrel_MFG_r,-0.00915444
1597,27,F1,irrel,chirrel_MFG_r,-0.0187699
1611,27,F1,rel,chirrel_MFG_r,0.0589755
1625,27,F2,D,chirrel_MFG_r,-0.0427377
1639,27,F2,I,chirrel_MFG_r,-0.0441536
1653,27,F2,irrel,chirrel_MFG_r,0.10103
1667,27,F2,rel,chirrel_MFG_r,0.147096
1681,28,F1,irrel,chirrel_MFG_r,0.0962637
1695,28,F1,rel,chirrel_MFG_r,0.114244
1709,28,F2,D,chirrel_MFG_r,-0.41047
1723,28,F2,I,chirrel_MFG_r,-0.0392886
1737,28,F2,irrel,chirrel_MFG_r,-0.0784935
1751,28,F2,rel,chirrel_MFG_r,0.105428
1765,29,F1,irrel,chirrel_MFG_r,0.0178396
1779,29,F1,rel,chirrel_MFG_r,0.0391571
1793,29,F2,D,chirrel_MFG_r,-0.0850143
1807,29,F2,I,chirrel_MFG_r,0.0849036
1821,29,F2,irrel,chirrel_MFG_r,-0.0691032
1835,29,F2,rel,chirrel_MFG_r,-0.0582028
1849,30,F1,irrel,chirrel_MFG_r,0.0604575
1863,30,F1,rel,chirrel_MFG_r,-0.0223496
1877,30,F2,D,chirrel_MFG_r,-0.0708512
1891,30,F2,I,chirrel_MFG_r,0.0445662
1905,30,F2,irrel,chirrel_MFG_r,-0.016681
1919,30,F2,rel,chirrel_MFG_r,-0.00997151
1933,31,F1,irrel,chirrel_MFG_r,-0.0658512
1947,31,F1,rel,chirrel_MFG_r,0.0574676
1961,31,F2,D,chirrel_MFG_r,-0.171265
1975,31,F2,I,chirrel_MFG_r,-0.0721165
1989,31,F2,irrel,chirrel_MFG_r,-0.0372908
2003,31,F2,rel,chirrel_MFG_r,-0.0833296
2,1,F1,irrel,chirrel_precuences,0.00124345
16,1,F1,rel,chirrel_precuences,-0.0198031
30,1,F2,D,chirrel_precuences,-0.0774208
44,1,F2,I,chirrel_precuences,-0.061295
58,1,F2,irrel,chirrel_precuences,-0.0284006
72,1,F2,rel,chirrel_precuences,-0.00465499
86,2,F1,irrel,chirrel_precuences,-0.0572475
100,2,F1,rel,chirrel_precuences,-0.156692
114,2,F2,D,chirrel_precuences,0.0146168
128,2,F2,I,chirrel_precuences,-0.107935
142,2,F2,irrel,chirrel_precuences,-0.0961236
156,2,F2,rel,chirrel_precuences,-0.00738937
170,3,F1,irrel,chirrel_precuences,0.0419633
184,3,F1,rel,chirrel_precuences,-0.0732954
198,3,F2,D,chirrel_precuences,-0.0990481
212,3,F2,I,chirrel_precuences,0.0515516
226,3,F2,irrel,chirrel_precuences,-0.0268644
240,3,F2,rel,chirrel_precuences,0.00105244
254,4,F1,irrel,chirrel_precuences,-0.0924129
268,4,F1,rel,chirrel_precuences,0.0539056
282,4,F2,D,chirrel_precuences,-0.128415
296,4,F2,I,chirrel_precuences,-0.080145
310,4,F2,irrel,chirrel_precuences,-0.0351648
324,4,F2,rel,chirrel_precuences,-0.110028
338,6,F1,irrel,chirrel_precuences,-0.0626916
352,6,F1,rel,chirrel_precuences,0.0104823
366,6,F2,D,chirrel_precuences,0.00105325
380,6,F2,I,chirrel_precuences,0.0326149
394,6,F2,irrel,chirrel_precuences,-0.00816832
408,6,F2,rel,chirrel_precuences,-0.0657145
422,7,F1,irrel,chirrel_precuences,0.00146435
436,7,F1,rel,chirrel_precuences,-0.0470889
450,7,F2,D,chirrel_precuences,-0.0026729
464,7,F2,I,chirrel_precuences,-0.0608794
478,7,F2,irrel,chirrel_precuences,-0.119946
492,7,F2,rel,chirrel_precuences,-0.110895
506,9,F1,irrel,chirrel_precuences,0.0163101
520,9,F1,rel,chirrel_precuences,0.0509823
534,9,F2,D,chirrel_precuences,0.0673465
548,9,F2,I,chirrel_precuences,0.0507321
562,9,F2,irrel,chirrel_precuences,0.000430636
576,9,F2,rel,chirrel_precuences,-0.0216891
590,10,F1,irrel,chirrel_precuences,-0.0686012
604,10,F1,rel,chirrel_precuences,-0.00641311
618,10,F2,D,chirrel_precuences,-0.192144
632,10,F2,I,chirrel_precuences,-0.0785409
646,10,F2,irrel,chirrel_precuences,-0.0482413
660,10,F2,rel,chirrel_precuences,-0.0687897
674,11,F1,irrel,chirrel_precuences,0.03514
688,11,F1,rel,chirrel_precuences,0.0306614
702,11,F2,D,chirrel_precuences,-0.0167058
716,11,F2,I,chirrel_precuences,0.037527
730,11,F2,irrel,chirrel_precuences,-0.0662219
744,11,F2,rel,chirrel_precuences,0.0410242
758,15,F1,irrel,chirrel_precuences,0.0725747
772,15,F1,rel,chirrel_precuences,-0.000430068
786,15,F2,D,chirrel_precuences,0.0166153
800,15,F2,I,chirrel_precuences,-0.0590613
814,15,F2,irrel,chirrel_precuences,-0.0131241
828,15,F2,rel,chirrel_precuences,-0.0490095
842,17,F1,irrel,chirrel_precuences,-0.0225334
856,17,F1,rel,chirrel_precuences,0.0167706
870,17,F2,D,chirrel_precuences,-0.167674
884,17,F2,I,chirrel_precuences,0.0387053
898,17,F2,irrel,chirrel_precuences,-0.0391536
912,17,F2,rel,chirrel_precuences,-0.0300862
926,18,F1,irrel,chirrel_precuences,-0.0260743
940,18,F1,rel,chirrel_precuences,0.0171087
954,18,F2,D,chirrel_precuences,-0.180778
968,18,F2,I,chirrel_precuences,0.105334
982,18,F2,irrel,chirrel_precuences,0.0388818
996,18,F2,rel,chirrel_precuences,0.0114587
1010,19,F1,irrel,chirrel_precuences,0.0165731
1024,19,F1,rel,chirrel_precuences,-0.0301399
1038,19,F2,D,chirrel_precuences,-0.219547
1052,19,F2,I,chirrel_precuences,-0.207246
1066,19,F2,irrel,chirrel_precuences,0.179118
1080,19,F2,rel,chirrel_precuences,0.023698
1094,21,F1,irrel,chirrel_precuences,-0.0115466
1108,21,F1,rel,chirrel_precuences,0.0507165
1122,21,F2,D,chirrel_precuences,-0.0820823
1136,21,F2,I,chirrel_precuences,0.0423933
1150,21,F2,irrel,chirrel_precuences,-0.0277924
1164,21,F2,rel,chirrel_precuences,-0.0358837
1178,22,F1,irrel,chirrel_precuences,-0.0319845
1192,22,F1,rel,chirrel_precuences,0.0567354
1206,22,F2,D,chirrel_precuences,-0.0668422
1220,22,F2,I,chirrel_precuences,0.153044
1234,22,F2,irrel,chirrel_precuences,0.0273126
1248,22,F2,rel,chirrel_precuences,0.0448331
1262,23,F1,irrel,chirrel_precuences,-0.0639391
1276,23,F1,rel,chirrel_precuences,-0.0635598
1290,23,F2,D,chirrel_precuences,-0.124025
1304,23,F2,I,chirrel_precuences,0.0402233
1318,23,F2,irrel,chirrel_precuences,0.0251361
