contrast,valid_voxels,max_t,min_t,max_abs_t,min_global_FWER_p,sig_FWER05_total,sig_FWER05_positive_theory_better,sig_FWER05_negative_competitor_better
fixed_minus_theory,169880,3.0677942377970973,-6.643586476130737,6.643586476130737,0.007999600019999,1,0,1
weighting_minus_theory,169880,6.849953729059003,-1.9789509051071688,6.849953729059003,0.0050997450127493625,23,23,0
quadratic_minus_theory,169880,8.014738118556544,-2.3793551747583153,8.014738118556544,0.00039998000099995,51,51,0
