onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
17.214598	2	F2	4.0	1.0	3.605551275	0.707106781
39.2266986	2	F2	2.0	1.0	3.16227766	1.414213562
57.1619343	2	F2	3.0	2.0	1.414213562	0
72.4942606	2	F2	1.0	3.0	2.828427125	0
91.1784753	2	F2	2.0	1.0	1.414213562	0
116.0753053	2	F2	4.0	3.0	2.236067977	2.121320344
133.0202792	2	F2	4.0	2.0	2.236067977	0.707106781
152.8066588	2	F2	3.0	4.0	2.236067977	0.707106781
175.5052072	2	F2	4.0	1.0	4.242640687	0
191.5375385	2	F2	4.0	2.0	3.16227766	1.414213562
209.0127158	2	F2	4.0	1.0	2.236067977	0.707106781
230.4018825	2	F2	3.0	4.0	3.16227766	2.828427125
254.1669792	2	F2	4.0	1.0	1.414213562	0
275.1784637	2	F2	3.0	1.0	2.236067977	0.707106781
297.8012209	2	F2	3.0	3.0	1.414213562	1.414213562
316.9201494	2	F2	1.0	1.0	3.605551275	3.535533906
331.7350402	2	F2	3.0	3.0	1.414213562	0
348.852074	2	F2	4.0	4.0	3.605551275	3.535533906
369.0388767	2	F2	2.0	3.0	1.414213562	0
386.9578227	2	F2	2.0	4.0	3.16227766	1.414213562
