onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5679804	2	F1	3.0	2.0
29.1196846	2	F1	3.0	1.0
50.5451319	2	F1	1.0	4.0
69.6275883	2	F1	1.0	4.0
84.5266463	2	F1	1.0	2.0
99.307618	2	F1	1.0	3.0
114.9244431	2	F1	1.0	1.0
135.2259336	2	F1	2.0	4.0
159.8167238	2	F1	4.0	3.0
183.0063539	2	F1	3.0	1.0
201.6415843	2	F1	4.0	3.0
220.7608497	2	F1	1.0	2.0
240.1478143	2	F1	3.0	2.0
256.1291936	2	F1	2.0	3.0
272.3464084	2	F1	4.0	4.0
290.0308121	2	F1	3.0	4.0
306.9799011	2	F1	4.0	2.0
324.3471421	2	F1	2.0	2.0
343.6000801	2	F1	1.0	4.0
360.9669989	2	F1	3.0	4.0
