onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
17.9782415	2	F2	1.0	2.0	2.236067977	2.121320344
37.9654011	2	F2	4.0	3.0	1.414213562	1.414213562
53.8141485	2	F2	4.0	2.0	3.605551275	0.707106781
75.6709379	2	F2	1.0	3.0	2.236067977	2.121320344
90.6029809	2	F2	3.0	4.0	3.16227766	2.828427125
111.2211235	2	F2	2.0	2.0	2.236067977	0.707106781
135.7504016	2	F2	3.0	1.0	3.605551275	0.707106781
160.7825914	2	F2	2.0	3.0	2.236067977	0.707106781
176.4360918	2	F2	4.0	1.0	2.828427125	0
191.8516318	2	F2	3.0	2.0	2.236067977	0.707106781
207.667207	2	F2	3.0	3.0	2.236067977	0.707106781
223.3828667	2	F2	4.0	4.0	3.605551275	3.535533906
238.1309848	2	F2	1.0	3.0	2.236067977	0.707106781
255.7819246	2	F2	4.0	3.0	2.236067977	2.121320344
271.3306365	2	F2	1.0	1.0	4.242640687	4.242640687
289.3821962	2	F2	2.0	1.0	3.16227766	1.414213562
304.2067039	2	F2	3.0	3.0	1.414213562	1.414213562
318.8781697	2	F2	3.0	3.0	1.414213562	0
335.7282152	2	F2	3.0	1.0	1.414213562	1.414213562
354.5804022	2	F2	4.0	3.0	3.605551275	3.535533906
