onset	duration	trial_type	relevant_rank	irrelevant_rank
10.561155	2	F1	2.0	4.0
27.294356	2	F1	3.0	2.0
43.3703424	2	F1	1.0	4.0
59.527415	2	F1	1.0	3.0
75.6092018	2	F1	3.0	3.0
91.641702	2	F1	2.0	2.0
109.0424728	2	F1	1.0	1.0
125.5423458	2	F1	1.0	4.0
142.5591149	2	F1	3.0	1.0
160.6296553	2	F1	3.0	1.0
180.8473334	2	F1	1.0	4.0
200.0341926	2	F1	2.0	1.0
216.3326792	2	F1	2.0	1.0
232.9421966	2	F1	2.0	3.0
248.865014	2	F1	4.0	4.0
266.9503912	2	F1	3.0	4.0
284.8843212	2	F1	4.0	1.0
299.9997908	2	F1	2.0	4.0
317.2532473	2	F1	3.0	3.0
334.9523305	2	F1	4.0	3.0
