onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
17.305186	2	F2	4.0	2.0	2.828427125	0
34.7370289	2	F2	2.0	1.0	1.414213562	1.414213562
49.4695757	2	F2	4.0	3.0	3.16227766	1.414213562
67.0350352	2	F2	3.0	2.0	2.236067977	0.707106781
81.6509438	2	F2	2.0	2.0	1.414213562	1.414213562
99.0998103	2	F2	1.0	1.0	1.414213562	1.414213562
116.4497578	2	F2	4.0	4.0	4.242640687	4.242640687
132.0988906	2	F2	2.0	3.0	1.414213562	0
150.4836655	2	F2	1.0	4.0	3.605551275	0.707106781
168.2456095	2	F2	2.0	2.0	1.414213562	0
190.9109567	2	F2	4.0	3.0	3.16227766	1.414213562
206.6241263	2	F2	4.0	2.0	2.236067977	2.121320344
223.508924	2	F2	1.0	4.0	3.16227766	1.414213562
239.841794	2	F2	1.0	4.0	1.414213562	0
255.3553548	2	F2	1.0	3.0	3.16227766	2.828427125
276.0087855	2	F2	1.0	3.0	2.236067977	2.121320344
291.2238461	2	F2	2.0	3.0	2.828427125	0
306.2221921	2	F2	3.0	1.0	3.16227766	1.414213562
325.7417382	2	F2	2.0	4.0	1.414213562	0
341.6241703	2	F2	3.0	4.0	1.414213562	0
