onset	duration	trial_type	relevant_rank	irrelevant_rank
10.568321	2	F1	2.0	4.0
29.9249431	2	F1	2.0	3.0
50.6580275	2	F1	4.0	1.0
69.6271514	2	F1	3.0	3.0
86.3113543	2	F1	1.0	4.0
102.5273294	2	F1	4.0	3.0
120.1440834	2	F1	1.0	1.0
140.8650093	2	F1	4.0	2.0
160.6177826	2	F1	1.0	1.0
178.3854615	2	F1	3.0	1.0
194.9518875	2	F1	1.0	3.0
214.1042261	2	F1	2.0	1.0
238.6958077	2	F1	1.0	2.0
260.1606657	2	F1	3.0	2.0
279.6870786	2	F1	4.0	4.0
299.0055929	2	F1	4.0	3.0
315.6572518	2	F1	3.0	4.0
332.8067376	2	F1	1.0	4.0
349.0557795	2	F1	3.0	3.0
364.5383745	2	F1	3.0	4.0
