onset	duration	trial_type	relevant_rank	irrelevant_rank	Manhattan
17.305186	2	F2	4.0	2.0	4
34.7370289	2	F2	2.0	1.0	2
49.4695757	2	F2	4.0	3.0	4
67.0350352	2	F2	3.0	2.0	3
81.6509438	2	F2	2.0	2.0	2
99.0998103	2	F2	1.0	1.0	2
116.4497578	2	F2	4.0	4.0	6
132.0988906	2	F2	2.0	3.0	2
150.4836655	2	F2	1.0	4.0	5
168.2456095	2	F2	2.0	2.0	2
190.9109567	2	F2	4.0	3.0	4
206.6241263	2	F2	4.0	2.0	3
223.508924	2	F2	1.0	4.0	4
239.841794	2	F2	1.0	4.0	2
255.3553548	2	F2	1.0	3.0	4
276.0087855	2	F2	1.0	3.0	3
291.2238461	2	F2	2.0	3.0	4
306.2221921	2	F2	3.0	1.0	4
325.7417382	2	F2	2.0	4.0	2
341.6241703	2	F2	3.0	4.0	2
