onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.9782415	2	F2	1.0	2.0	26.5651
37.9654011	2	F2	4.0	3.0	225
53.8141485	2	F2	4.0	2.0	146.3099
75.6709379	2	F2	1.0	3.0	26.5651
90.6029809	2	F2	3.0	4.0	198.4349
111.2211235	2	F2	2.0	2.0	333.4349
135.7504016	2	F2	3.0	1.0	123.6901
160.7825914	2	F2	2.0	3.0	116.5651
176.4360918	2	F2	4.0	1.0	315
191.8516318	2	F2	3.0	2.0	296.5651
207.667207	2	F2	3.0	3.0	296.5651
223.3828667	2	F2	4.0	4.0	236.3099
238.1309848	2	F2	1.0	3.0	333.4349
255.7819246	2	F2	4.0	3.0	243.4349
271.3306365	2	F2	1.0	1.0	45
289.3821962	2	F2	2.0	1.0	341.5651
304.2067039	2	F2	3.0	3.0	225
318.8781697	2	F2	3.0	3.0	315
335.7282152	2	F2	3.0	1.0	45
354.5804022	2	F2	4.0	3.0	213.6901
