onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.305186	2	F2	4.0	2.0	315
34.7370289	2	F2	2.0	1.0	45
49.4695757	2	F2	4.0	3.0	161.5651
67.0350352	2	F2	3.0	2.0	153.4349
81.6509438	2	F2	2.0	2.0	45
99.0998103	2	F2	1.0	1.0	45
116.4497578	2	F2	4.0	4.0	225
132.0988906	2	F2	2.0	3.0	315
150.4836655	2	F2	1.0	4.0	303.6901
168.2456095	2	F2	2.0	2.0	315
190.9109567	2	F2	4.0	3.0	288.4349
206.6241263	2	F2	4.0	2.0	206.5651
223.508924	2	F2	1.0	4.0	161.5651
239.841794	2	F2	1.0	4.0	315
255.3553548	2	F2	1.0	3.0	18.4349
276.0087855	2	F2	1.0	3.0	63.4349
291.2238461	2	F2	2.0	3.0	315
306.2221921	2	F2	3.0	1.0	341.5651
325.7417382	2	F2	2.0	4.0	315
341.6241703	2	F2	3.0	4.0	135
