onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.214598	2	F2	4.0	1.0	326.3099
39.2266986	2	F2	2.0	1.0	108.4349
57.1619343	2	F2	3.0	2.0	135
72.4942606	2	F2	1.0	3.0	135
91.1784753	2	F2	2.0	1.0	315
116.0753053	2	F2	4.0	3.0	243.4349
133.0202792	2	F2	4.0	2.0	153.4349
152.8066588	2	F2	3.0	4.0	153.4349
175.5052072	2	F2	4.0	1.0	135
191.5375385	2	F2	4.0	2.0	288.4349
209.0127158	2	F2	4.0	1.0	153.4349
230.4018825	2	F2	3.0	4.0	251.5651
254.1669792	2	F2	4.0	1.0	135
275.1784637	2	F2	3.0	1.0	153.4349
297.8012209	2	F2	3.0	3.0	45
316.9201494	2	F2	1.0	1.0	33.6901
331.7350402	2	F2	3.0	3.0	135
348.852074	2	F2	4.0	4.0	213.6901
369.0388767	2	F2	2.0	3.0	135
386.9578227	2	F2	2.0	4.0	161.5651
