onset	duration	trial_type	relevant_rank	irrelevant_rank	Manhattan
17.4058841	2	F2	4.0	3.0	3
34.4227673	2	F2	4.0	1.0	3
51.012118	2	F2	2.0	2.0	2
66.211645	2	F2	1.0	2.0	3
84.6770092	2	F2	3.0	4.0	4
100.4259267	2	F2	1.0	4.0	3
122.4435169	2	F2	4.0	3.0	5
148.4360766	2	F2	1.0	4.0	5
167.3549418	2	F2	3.0	1.0	2
182.7710038	2	F2	3.0	1.0	4
201.2696115	2	F2	4.0	1.0	4
215.9866966	2	F2	4.0	2.0	2
232.603214	2	F2	4.0	4.0	3
251.5335705	2	F2	1.0	1.0	3
266.4328168	2	F2	2.0	3.0	3
281.4518616	2	F2	2.0	4.0	3
296.7005429	2	F2	4.0	2.0	2
316.7371186	2	F2	4.0	1.0	4
336.3566675	2	F2	1.0	2.0	2
351.9437143	2	F2	3.0	1.0	3
