onset	duration	trial_type	relevant_rank	irrelevant_rank	Manhattan
18.7595894	2	F2	1.0	3.0	2
38.5574555	2	F2	4.0	2.0	3
60.2344721	2	F2	2.0	2.0	3
76.4843429	2	F2	1.0	4.0	3
93.5874019	2	F2	4.0	1.0	6
108.9364944	2	F2	1.0	4.0	4
128.8192418	2	F2	2.0	3.0	3
150.3742308	2	F2	2.0	1.0	3
168.3334156	2	F2	4.0	2.0	4
185.9101765	2	F2	1.0	2.0	3
201.4641798	2	F2	4.0	4.0	4
224.1975331	2	F2	1.0	3.0	3
250.6614012	2	F2	2.0	3.0	2
267.1268791	2	F2	2.0	1.0	2
289.7088418	2	F2	3.0	2.0	3
305.7621616	2	F2	2.0	1.0	4
323.0129688	2	F2	4.0	3.0	2
340.0629933	2	F2	3.0	1.0	5
355.5117407	2	F2	1.0	1.0	4
371.0371809	2	F2	4.0	2.0	3
