onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.305186	2	F2	4.0	2.0	-0.785398163397448
34.7370289	2	F2	2.0	1.0	-2.35619449019235
49.4695757	2	F2	4.0	3.0	1.89254688119154
67.0350352	2	F2	3.0	2.0	2.03444393579570
81.6509438	2	F2	2.0	2.0	-2.35619449019235
99.0998103	2	F2	1.0	1.0	-2.35619449019235
116.4497578	2	F2	4.0	4.0	0.785398163397448
132.0988906	2	F2	2.0	3.0	-0.785398163397448
150.4836655	2	F2	1.0	4.0	-0.588002603547568
168.2456095	2	F2	2.0	2.0	-0.785398163397448
190.9109567	2	F2	4.0	3.0	-0.321750554396642
206.6241263	2	F2	4.0	2.0	1.10714871779409
223.508924	2	F2	1.0	4.0	1.89254688119154
239.841794	2	F2	1.0	4.0	-0.785398163397448
255.3553548	2	F2	1.0	3.0	-1.89254688119154
276.0087855	2	F2	1.0	3.0	-2.67794504458899
291.2238461	2	F2	2.0	3.0	-0.785398163397448
306.2221921	2	F2	3.0	1.0	-1.24904577239825
325.7417382	2	F2	2.0	4.0	-0.785398163397448
341.6241703	2	F2	3.0	4.0	2.35619449019235
