onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.4058841	2	F2	4.0	3.0	296.5651
34.4227673	2	F2	4.0	1.0	116.5651
51.012118	2	F2	2.0	2.0	135
66.211645	2	F2	1.0	2.0	116.5651
84.6770092	2	F2	3.0	4.0	225
100.4259267	2	F2	1.0	4.0	296.5651
122.4435169	2	F2	4.0	3.0	236.3099
148.4360766	2	F2	1.0	4.0	123.6901
167.3549418	2	F2	3.0	1.0	315
182.7710038	2	F2	3.0	1.0	108.4349
201.2696115	2	F2	4.0	1.0	341.5651
215.9866966	2	F2	4.0	2.0	135
232.603214	2	F2	4.0	4.0	243.4349
251.5335705	2	F2	1.0	1.0	63.4349
266.4328168	2	F2	2.0	3.0	26.5651
281.4518616	2	F2	2.0	4.0	333.4349
296.7005429	2	F2	4.0	2.0	225
316.7371186	2	F2	4.0	1.0	288.4349
336.3566675	2	F2	1.0	2.0	135
351.9437143	2	F2	3.0	1.0	116.5651
