onset	duration	trial_type	relevant_rank	irrelevant_rank	D
17.305186	2	F2	4.0	2.0	2.0
34.7370289	2	F2	2.0	1.0	1.0
49.4695757	2	F2	4.0	3.0	3.0
67.0350352	2	F2	3.0	2.0	2.0
81.6509438	2	F2	2.0	2.0	1.0
99.0998103	2	F2	1.0	1.0	1.0
116.4497578	2	F2	4.0	4.0	3.0
132.0988906	2	F2	2.0	3.0	1.0
150.4836655	2	F2	1.0	4.0	2.0
168.2456095	2	F2	2.0	2.0	1.0
190.9109567	2	F2	4.0	3.0	3.0
206.6241263	2	F2	4.0	2.0	2.0
223.508924	2	F2	1.0	4.0	1.0
239.841794	2	F2	1.0	4.0	1.0
255.3553548	2	F2	1.0	3.0	3.0
276.0087855	2	F2	1.0	3.0	2.0
291.2238461	2	F2	2.0	3.0	2.0
306.2221921	2	F2	3.0	1.0	1.0
325.7417382	2	F2	2.0	4.0	1.0
341.6241703	2	F2	3.0	4.0	1.0
