onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.9782415	2	F2	1.0	2.0	-2.03444393579570
37.9654011	2	F2	4.0	3.0	0.785398163397448
53.8141485	2	F2	4.0	2.0	2.15879893034246
75.6709379	2	F2	1.0	3.0	-2.03444393579570
90.6029809	2	F2	3.0	4.0	1.24904577239825
111.2211235	2	F2	2.0	2.0	-1.10714871779409
135.7504016	2	F2	3.0	1.0	2.55359005004223
160.7825914	2	F2	2.0	3.0	2.67794504458899
176.4360918	2	F2	4.0	1.0	-0.785398163397448
191.8516318	2	F2	3.0	2.0	-0.463647609000806
207.667207	2	F2	3.0	3.0	-0.463647609000806
223.3828667	2	F2	4.0	4.0	0.588002603547568
238.1309848	2	F2	1.0	3.0	-1.10714871779409
255.7819246	2	F2	4.0	3.0	0.463647609000806
271.3306365	2	F2	1.0	1.0	-2.35619449019235
289.3821962	2	F2	2.0	1.0	-1.24904577239825
304.2067039	2	F2	3.0	3.0	0.785398163397448
318.8781697	2	F2	3.0	3.0	-0.785398163397448
335.7282152	2	F2	3.0	1.0	-2.35619449019235
354.5804022	2	F2	4.0	3.0	0.982793723247329
