onset	duration	trial_type	relevant_rank	irrelevant_rank	E
17.9782415	2	F2	1.0	2.0	2.236067977
37.9654011	2	F2	4.0	3.0	1.414213562
53.8141485	2	F2	4.0	2.0	3.605551275
75.6709379	2	F2	1.0	3.0	2.236067977
90.6029809	2	F2	3.0	4.0	3.16227766
111.2211235	2	F2	2.0	2.0	2.236067977
135.7504016	2	F2	3.0	1.0	3.605551275
160.7825914	2	F2	2.0	3.0	2.236067977
176.4360918	2	F2	4.0	1.0	2.828427125
191.8516318	2	F2	3.0	2.0	2.236067977
207.667207	2	F2	3.0	3.0	2.236067977
223.3828667	2	F2	4.0	4.0	3.605551275
238.1309848	2	F2	1.0	3.0	2.236067977
255.7819246	2	F2	4.0	3.0	2.236067977
271.3306365	2	F2	1.0	1.0	4.242640687
289.3821962	2	F2	2.0	1.0	3.16227766
304.2067039	2	F2	3.0	3.0	1.414213562
318.8781697	2	F2	3.0	3.0	1.414213562
335.7282152	2	F2	3.0	1.0	1.414213562
354.5804022	2	F2	4.0	3.0	3.605551275
