onset	duration	trial_type	relevant_rank	irrelevant_rank	E	Diag
17.5087722	2	F2	1.0	1.0	2.236067977	2.828427125
32.2939214	2	F2	4.0	4.0	2.236067977	3.535533906
47.1097492	2	F2	2.0	1.0	3.16227766	2.828427125
61.8524331	2	F2	4.0	4.0	2.236067977	3.535533906
87.2443584	2	F2	1.0	1.0	2.236067977	2.121320344
105.1620868	2	F2	2.0	2.0	1.414213562	1.414213562
124.3144774	2	F2	2.0	1.0	2.236067977	2.121320344
146.9367814	2	F2	4.0	4.0	3.605551275	2.828427125
169.5596704	2	F2	1.0	2.0	3.605551275	1.414213562
185.0182554	2	F2	3.0	4.0	2.236067977	1.414213562
202.1920279	2	F2	3.0	4.0	3.16227766	3.535533906
217.0160449	2	F2	1.0	1.0	3.605551275	2.828427125
231.6545427	2	F2	4.0	4.0	2.236067977	2.121320344
249.8141296	2	F2	4.0	4.0	1.414213562	2.828427125
268.3799773	2	F2	3.0	4.0	1.414213562	2.828427125
288.9115493	2	F2	3.0	1.0	3.16227766	2.121320344
306.7442335	2	F2	3.0	4.0	2.236067977	2.828427125
326.6328	2	F2	1.0	2.0	2.236067977	2.121320344
344.350455	2	F2	3.0	4.0	3.605551275	2.121320344
362.3015681	2	F2	2.0	4.0	1.414213562	2.121320344
