0,45,90,135,180,225,270,315
0.0000,3.5995,6.1077,8.2218,10.6291,14.9043,3.6036,7.2760
3.5995,0.0000,8.5826,11.8321,10.2003,18.6110,5.2532,9.4402
6.1077,8.5826,0.0000,12.0111,9.1577,9.7661,7.3070,8.7041
8.2218,11.8321,12.0111,0.0000,10.3993,18.2150,10.8950,5.2744
10.6291,10.2003,9.1577,10.3993,0.0000,12.1423,10.3871,6.5089
14.9043,18.6110,9.7661,18.2150,12.1423,0.0000,12.9607,13.3234
3.6036,5.2532,7.3070,10.8950,10.3871,12.9607,0.0000,8.7461
7.2760,9.4402,8.7041,5.2744,6.5089,13.3234,8.7461,0.0000
