0,45,90,135,180,225,270
0.0000,1.6537,2.2956,1.2739,1.4394,3.6270,3.8502
1.6537,0.0000,4.3738,2.5385,1.7637,4.4605,6.5146
2.2956,4.3738,0.0000,2.0986,2.8834,4.8411,5.7932
1.2739,2.5385,2.0986,0.0000,1.9371,4.3135,5.0065
1.4394,1.7637,2.8834,1.9371,0.0000,3.0088,3.6476
3.6270,4.4605,4.8411,4.3135,3.0088,0.0000,7.5362
3.8502,6.5146,5.7932,5.0065,3.6476,7.5362,0.0000
