"","seq","blockrb","sub","RT","resp","correct","D","I","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel","irrel","diag1","diag2","diagdiff"
"416",416,3,4,0.9714504,2,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"417",417,3,4,0.9865477,1,2,2,2,2.8284,4,4,1,2,3,-2,2,3.535533906,3.535533906,0
"418",418,3,4,2.000084,NA,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"419",419,3,4,2.0000686,NA,2,1,1,1.4142,2,3,3,2,4,-1,1,2.828427125,2.828427125,0
"420",420,3,4,0.3981553,2,2,1,1,1.4142,2,4,3,3,4,-1,1,2.121320344,2.121320344,0
"421",421,4,4,1.9477286,2,2,1,1,1.4142,2,2,4,1,3,-1,-1,2.828427125,4.242640687,1.4142
"422",422,4,4,1.8956841,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"423",423,4,4,0.4248478,2,2,2,1,2.2361,3,4,1,2,2,-2,1,3.535533906,4.242640687,0.7071
"424",424,4,4,1.7933233,2,2,2,1,2.2361,3,3,3,1,4,-2,1,2.828427125,3.535533906,0.7071
"425",425,4,4,0.4053502,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"426",426,4,4,0.4787468,2,2,3,1,3.1623,4,4,3,1,4,-3,1,2.121320344,3.535533906,1.4142
"427",427,4,4,0.3689053,1,1,1,2,2.2361,3,1,1,2,3,1,2,5.656854249,3.535533906,2.1213
"428",428,4,4,0.3517992,2,2,2,1,2.2361,3,4,2,2,1,-2,-1,2.828427125,4.949747468,2.1213
"429",429,4,4,0.5154486,1,1,3,1,3.1623,4,1,1,4,2,3,1,5.656854249,2.828427125,2.8284
"430",430,4,4,1.8957054,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"431",431,4,4,1.3203184,1,1,3,1,3.1623,4,1,3,4,4,3,1,4.242640687,1.414213562,2.8284
"432",432,4,4,1.53124,2,2,1,2,2.2361,3,2,1,1,3,-1,2,4.949747468,4.242640687,0.7071
"433",433,4,4,0.4342492,1,1,1,1,1.4142,2,1,2,2,3,1,1,4.949747468,3.535533906,1.4142
