"","seq","blockrb","sub","RT","resp","correct","D","I","E","Manhatton","F1_relevant_rank","F1_irrelevant_rank","F2_relevant_rank","F2_irrelevant_rank","rel","irrel","diag1","diag2","diagdiff"
"540",540,3,6,0.9714138,2,2,1,1,1.4142,2,4,3,3,4,-1,1,2.121320344,2.121320344,0
"541",541,4,6,1.1160114,2,2,1,1,1.4142,2,2,4,1,3,-1,-1,2.828427125,4.242640687,1.4142
"542",542,4,6,2.0001034,NA,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"543",543,4,6,0.3564411,2,2,2,1,2.2361,3,4,1,2,2,-2,1,3.535533906,4.242640687,0.7071
"544",544,4,6,2.0001061,NA,2,2,1,2.2361,3,3,3,1,4,-2,1,2.828427125,3.535533906,0.7071
"545",545,4,6,0.7387024,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"546",546,4,6,0.4479269,2,2,3,1,3.1623,4,4,3,1,4,-3,1,2.121320344,3.535533906,1.4142
"547",547,4,6,0.5465748,1,1,1,2,2.2361,3,1,1,2,3,1,2,5.656854249,3.535533906,2.1213
"548",548,4,6,1.0910342,2,2,2,1,2.2361,3,4,2,2,1,-2,-1,2.828427125,4.949747468,2.1213
"549",549,4,6,0.4769753,1,1,3,1,3.1623,4,1,1,4,2,3,1,5.656854249,2.828427125,2.8284
"550",550,4,6,1.6836106,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"551",551,4,6,0.8356297,1,1,3,1,3.1623,4,1,3,4,4,3,1,4.242640687,1.414213562,2.8284
"552",552,4,6,1.5528809,2,2,1,2,2.2361,3,2,1,1,3,-1,2,4.949747468,4.242640687,0.7071
"553",553,4,6,0.5324359,1,1,1,1,1.4142,2,1,2,2,3,1,1,4.949747468,3.535533906,1.4142
"554",554,4,6,1.8014553,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"555",555,4,6,0.5465191,2,2,1,2,2.2361,3,4,4,3,2,-1,-2,1.414213562,3.535533906,2.1213
"556",556,4,6,0.9710316,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"557",557,4,6,1.8404479,1,1,1,1,1.4142,2,3,4,4,3,1,-1,2.121320344,2.121320344,0
"558",558,4,6,0.547465,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"559",559,4,6,1.2854366,2,2,2,2,2.8284,4,3,3,1,1,-2,-2,2.828427125,5.656854249,2.8284
"560",560,4,6,2.0000335,NA,1,1,2,2.2361,3,3,4,4,2,1,-2,2.121320344,2.828427125,0.7071
"561",561,5,6,1.0987642,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"562",562,5,6,1.6829082,1,1,1,3,3.1623,4,3,1,4,4,1,3,4.242640687,1.414213562,2.8284
"563",563,5,6,0.9168856,1,1,2,2,2.8284,4,1,4,3,2,2,-2,3.535533906,3.535533906,0
"564",564,5,6,0.9998848,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"565",565,5,6,1.2411752,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"566",566,5,6,0.8390736,1,1,3,2,3.6056,5,1,3,4,1,3,-2,4.242640687,3.535533906,0.7071
"567",567,5,6,0.6741742,1,1,1,3,3.1623,4,1,1,2,4,1,3,5.656854249,2.828427125,2.8284
"568",568,5,6,1.4255332,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"569",569,5,6,0.4522321,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"570",570,5,6,2.0000712,NA,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"571",571,5,6,0.3811385,2,2,1,1,1.4142,2,4,3,3,2,-1,-1,2.121320344,3.535533906,1.4142
"572",572,5,6,0.5247856,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"573",573,5,6,1.6048202,2,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"574",574,5,6,1.8755412,2,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"575",575,5,6,0.7332614,2,2,3,2,3.6056,5,4,4,1,2,-3,-2,1.414213562,4.949747468,3.5355
"576",576,5,6,0.9268218,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"577",577,5,6,0.4543127,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"578",578,5,6,1.6981257,2,2,1,1,1.4142,2,2,2,1,3,-1,1,4.242640687,4.242640687,0
"579",579,5,6,0.5386995,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"580",580,5,6,1.0156994,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"581",581,6,6,0.8369317,2,2,1,2,2.2361,3,2,4,1,2,-1,-2,2.828427125,4.949747468,2.1213
"582",582,6,6,1.8144615,1,1,1,1,1.4142,2,3,2,4,3,1,1,3.535533906,2.121320344,1.4142
"583",583,6,6,1.9608343,2,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"584",584,6,6,1.4879608,2,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"585",585,6,6,1.8614627,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"586",586,6,6,0.7691911,1,1,1,2,2.2361,3,1,4,2,2,1,-2,3.535533906,4.242640687,0.7071
"587",587,6,6,0.851686,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"588",588,6,6,0.6099546,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"589",589,6,6,1.8823109,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"590",590,6,6,1.2488052,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"591",591,6,6,0.6302727,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"592",592,6,6,0.5905868,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"593",593,6,6,1.1031638,2,2,2,1,2.2361,3,3,2,1,3,-2,1,3.535533906,4.242640687,0.7071
"594",594,6,6,1.538771,1,1,1,2,2.2361,3,3,1,4,3,1,2,4.242640687,2.121320344,2.1213
"595",595,6,6,0.9485781,2,2,3,3,4.2426,6,4,4,1,1,-3,-3,1.414213562,5.656854249,4.2426
"596",596,6,6,0.6651754,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"597",597,6,6,1.4283561,1,1,1,1,1.4142,2,2,2,3,3,1,1,4.242640687,2.828427125,1.4142
"598",598,6,6,1.3206646,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"599",599,6,6,0.5787849,2,2,1,1,1.4142,2,4,2,3,1,-1,-1,2.828427125,4.242640687,1.4142
"600",600,6,6,0.5987254,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"601",601,1,7,1.0145354,1,1,2,3,3.6056,5,2,4,4,1,2,-3,2.828427125,3.535533906,0.7071
"602",602,1,7,0.6850347,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"603",603,1,7,0.781891,2,2,1,1,1.4142,2,4,1,3,2,-1,1,3.535533906,3.535533906,0
"604",604,1,7,1.0836486,2,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"605",605,1,7,1.2422618,1,1,1,1,1.4142,2,1,2,2,1,1,-1,4.949747468,4.949747468,0
"606",606,1,7,1.9576562,1,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,2.1213
"607",607,1,7,1.9693212,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"608",608,1,7,0.487203,2,2,1,2,2.2361,3,4,2,3,4,-1,2,2.828427125,2.121320344,0.7071
"609",609,1,7,1.0869838,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"610",610,1,7,0.704989,1,1,3,1,3.1623,4,1,3,4,2,3,-1,4.242640687,2.828427125,1.4142
"611",611,1,7,2.0001568,NA,1,2,1,2.2361,3,2,2,4,1,2,-1,4.242640687,3.535533906,0.7071
"612",612,1,7,1.2185545,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"613",613,1,7,1.8857185,1,1,1,1,1.4142,2,3,2,4,1,1,-1,3.535533906,3.535533906,0
"614",614,1,7,0.4805379,1,1,2,1,2.2361,3,1,2,3,1,2,-1,4.949747468,4.242640687,0.7071
"615",615,1,7,0.6216373,2,2,1,1,1.4142,2,4,4,3,3,-1,-1,1.414213562,2.828427125,1.4142
"616",616,1,7,1.1001139,1,2,2,3,3.6056,5,3,4,1,1,-2,-3,2.121320344,5.656854249,3.5355
"617",617,1,7,0.9923206,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"618",618,1,7,0.4682518,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"619",619,1,7,1.845759,2,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"620",620,1,7,0.9845185,2,2,1,3,3.1623,4,3,1,2,4,-1,3,4.242640687,2.828427125,1.4142
"621",621,2,7,0.8207129,1,1,2,1,2.2361,3,2,4,4,3,2,-1,2.828427125,2.121320344,0.7071
"622",622,2,7,1.4194958,1,1,1,2,2.2361,3,3,3,4,1,1,-2,2.828427125,3.535533906,0.7071
"623",623,2,7,0.8376108,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"624",624,2,7,1.2584047,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"625",625,2,7,0.46771,1,1,2,2,2.8284,4,1,2,3,4,2,2,4.949747468,2.121320344,2.8284
"626",626,2,7,1.4875339,2,2,1,2,2.2361,3,2,2,1,4,-1,2,4.242640687,3.535533906,0.7071
"627",627,2,7,0.4375361,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"628",628,2,7,1.6033278,1,2,3,2,3.6056,5,4,2,1,4,-3,2,2.828427125,3.535533906,0.7071
"629",629,2,7,2.0001893,NA,1,1,1,1.4142,2,2,2,3,1,1,-1,4.242640687,4.242640687,0
"630",630,2,7,1.3826132,1,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"631",631,2,7,2.0000911,NA,1,1,3,3.1623,4,3,4,4,1,1,-3,2.121320344,3.535533906,1.4142
"632",632,2,7,1.3036682,1,1,1,1,1.4142,2,3,3,4,2,1,-1,2.828427125,2.828427125,0
"633",633,2,7,0.7215448,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2.1213
"634",634,2,7,0.839669,1,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"635",635,2,7,0.5682322,2,2,2,1,2.2361,3,4,4,2,3,-2,-1,1.414213562,3.535533906,2.1213
"636",636,2,7,1.2201772,1,2,2,1,2.2361,3,4,3,2,4,-2,1,2.121320344,2.828427125,0.7071
"637",637,2,7,0.5960721,2,1,1,1,1.4142,2,3,1,4,2,1,1,4.242640687,2.828427125,1.4142
"638",638,2,7,0.8443246,1,1,3,1,3.1623,4,1,2,4,1,3,-1,4.949747468,3.535533906,1.4142
"639",639,2,7,1.6377126,2,2,1,1,1.4142,2,2,1,1,2,-1,1,4.949747468,4.949747468,0
"640",640,2,7,1.707114,2,1,1,2,2.2361,3,2,3,3,1,1,-2,3.535533906,4.242640687,0.7071
"641",641,3,7,1.5298835,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"642",642,3,7,0.9095561,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"643",643,3,7,0.8361813,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"644",644,3,7,0.7723418,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"645",645,3,7,0.9755001,2,2,1,1,1.4142,2,3,3,2,2,-1,-1,2.828427125,4.242640687,1.4142
"646",646,3,7,1.2367903,2,2,1,1,1.4142,2,2,2,1,1,-1,-1,4.242640687,5.656854249,1.4142
"647",647,3,7,0.7195902,1,1,3,3,4.2426,6,1,1,4,4,3,3,5.656854249,1.414213562,4.2426
"648",648,3,7,1.8376087,2,1,1,1,1.4142,2,1,4,2,3,1,-1,3.535533906,3.535533906,0
"649",649,3,7,0.6859979,2,2,2,3,3.6056,5,3,1,1,4,-2,3,4.242640687,3.535533906,0.7071
"650",650,3,7,1.2046862,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"651",651,3,7,2.0001973,NA,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"652",652,3,7,1.9476946,1,1,2,1,2.2361,3,2,1,4,2,2,1,4.949747468,2.828427125,2.1213
"653",653,3,7,1.578117,1,2,1,3,3.1623,4,2,1,1,4,-1,3,4.949747468,3.535533906,1.4142
"654",654,3,7,2.0004383,NA,2,1,1,1.4142,2,2,3,1,4,-1,1,3.535533906,3.535533906,0
"655",655,3,7,0.7261114,2,2,3,1,3.1623,4,4,4,1,3,-3,-1,1.414213562,4.242640687,2.8284
"656",656,3,7,2.0001194,NA,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"657",657,3,7,0.0008506,2,2,2,2,2.8284,4,4,1,2,3,-2,2,3.535533906,3.535533906,0
"658",658,3,7,0.9640627,1,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"659",659,3,7,1.5373519,1,2,1,1,1.4142,2,3,3,2,4,-1,1,2.828427125,2.828427125,0
"660",660,3,7,0.7773972,2,2,1,1,1.4142,2,4,3,3,4,-1,1,2.121320344,2.121320344,0
"661",661,4,7,1.4621802,1,2,1,1,1.4142,2,2,4,1,3,-1,-1,2.828427125,4.242640687,1.4142
"662",662,4,7,1.3370735,1,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"663",663,4,7,0.765932,2,2,2,1,2.2361,3,4,1,2,2,-2,1,3.535533906,4.242640687,0.7071
"664",664,4,7,1.7477715,1,2,2,1,2.2361,3,3,3,1,4,-2,1,2.828427125,3.535533906,0.7071
"665",665,4,7,2.0000886,NA,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"666",666,4,7,0.5987773,2,2,3,1,3.1623,4,4,3,1,4,-3,1,2.121320344,3.535533906,1.4142
"667",667,4,7,0.6145458,1,1,1,2,2.2361,3,1,1,2,3,1,2,5.656854249,3.535533906,2.1213
"668",668,4,7,0.7365757,2,2,2,1,2.2361,3,4,2,2,1,-2,-1,2.828427125,4.949747468,2.1213
"669",669,4,7,0.6239601,1,1,3,1,3.1623,4,1,1,4,2,3,1,5.656854249,2.828427125,2.8284
"670",670,4,7,0.9754121,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"671",671,4,7,0.5481291,1,1,3,1,3.1623,4,1,3,4,4,3,1,4.242640687,1.414213562,2.8284
"672",672,4,7,1.3224554,2,2,1,2,2.2361,3,2,1,1,3,-1,2,4.949747468,4.242640687,0.7071
"673",673,4,7,0.3754557,1,1,1,1,1.4142,2,1,2,2,3,1,1,4.949747468,3.535533906,1.4142
"674",674,4,7,0.8847047,1,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"675",675,4,7,0.4044946,2,2,1,2,2.2361,3,4,4,3,2,-1,-2,1.414213562,3.535533906,2.1213
"676",676,4,7,1.4100075,1,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"677",677,4,7,1.6947084,2,1,1,1,1.4142,2,3,4,4,3,1,-1,2.121320344,2.121320344,0
"678",678,4,7,1.4608905,1,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"679",679,4,7,0.7351919,1,2,2,2,2.8284,4,3,3,1,1,-2,-2,2.828427125,5.656854249,2.8284
"680",680,4,7,1.5554933,2,1,1,2,2.2361,3,3,4,4,2,1,-2,2.121320344,2.828427125,0.7071
"681",681,5,7,1.1271265,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"682",682,5,7,1.7388345,1,1,1,3,3.1623,4,3,1,4,4,1,3,4.242640687,1.414213562,2.8284
"683",683,5,7,0.8695111,1,1,2,2,2.8284,4,1,4,3,2,2,-2,3.535533906,3.535533906,0
"684",684,5,7,1.6283499,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"685",685,5,7,0.5659486,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"686",686,5,7,0.3129298,1,1,3,2,3.6056,5,1,3,4,1,3,-2,4.242640687,3.535533906,0.7071
"687",687,5,7,1.0806952,1,1,1,3,3.1623,4,1,1,2,4,1,3,5.656854249,2.828427125,2.8284
"688",688,5,7,1.2986407,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"689",689,5,7,1.5567955,2,2,2,2,2.8284,4,4,3,2,1,-2,-2,2.121320344,4.949747468,2.8284
"690",690,5,7,2.0000247,NA,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"691",691,5,7,0.7323843,2,2,1,1,1.4142,2,4,3,3,2,-1,-1,2.121320344,3.535533906,1.4142
"692",692,5,7,0.6604563,1,1,2,1,2.2361,3,1,2,3,3,2,1,4.949747468,2.828427125,2.1213
"693",693,5,7,2.0000882,NA,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"694",694,5,7,1.9347999,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"695",695,5,7,0.3675634,2,2,3,2,3.6056,5,4,4,1,2,-3,-2,1.414213562,4.949747468,3.5355
"696",696,5,7,0.8079152,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"697",697,5,7,0.6277053,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"698",698,5,7,1.3677298,2,2,1,1,1.4142,2,2,2,1,3,-1,1,4.242640687,4.242640687,0
"699",699,5,7,0.6132897,1,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"700",700,5,7,0.95372,2,2,1,2,2.2361,3,3,4,2,2,-1,-2,2.121320344,4.242640687,2.1213
"701",701,6,7,1.7128313,2,2,1,2,2.2361,3,2,4,1,2,-1,-2,2.828427125,4.949747468,2.1213
"702",702,6,7,1.484984,1,1,1,1,1.4142,2,3,2,4,3,1,1,3.535533906,2.121320344,1.4142
"703",703,6,7,0.7271595,1,1,3,2,3.6056,5,1,4,4,2,3,-2,3.535533906,2.828427125,0.7071
"704",704,6,7,1.4105977,1,2,2,1,2.2361,3,3,4,1,3,-2,-1,2.121320344,4.242640687,2.1213
"705",705,6,7,1.8245392,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"706",706,6,7,1.6812116,1,1,1,2,2.2361,3,1,4,2,2,1,-2,3.535533906,4.242640687,0.7071
"707",707,6,7,1.3422154,2,1,2,3,3.6056,5,1,4,3,1,2,-3,3.535533906,4.242640687,0.7071
"708",708,6,7,0.6310083,2,2,2,1,2.2361,3,4,2,2,3,-2,1,2.828427125,3.535533906,0.7071
"709",709,6,7,1.2542838,1,1,2,2,2.8284,4,2,3,4,1,2,-2,3.535533906,3.535533906,0
"710",710,6,7,0.8822326,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"711",711,6,7,2.000039,NA,1,2,1,2.2361,3,1,4,3,3,2,-1,3.535533906,2.828427125,0.7071
"712",712,6,7,0.4757924,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"713",713,6,7,1.5837073,2,2,2,1,2.2361,3,3,2,1,3,-2,1,3.535533906,4.242640687,0.7071
"714",714,6,7,1.3729882,2,1,1,2,2.2361,3,3,1,4,3,1,2,4.242640687,2.121320344,2.1213
"715",715,6,7,0.6909654,2,2,3,3,4.2426,6,4,4,1,1,-3,-3,1.414213562,5.656854249,4.2426
"716",716,6,7,1.1506848,2,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"717",717,6,7,0.945676,1,1,1,1,1.4142,2,2,2,3,3,1,1,4.242640687,2.828427125,1.4142
"718",718,6,7,0.7319266,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"719",719,6,7,0.3475084,2,2,1,1,1.4142,2,4,2,3,1,-1,-1,2.828427125,4.242640687,1.4142
"720",720,6,7,0.5501302,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"721",721,1,9,1.9776892,1,1,2,3,3.6056,5,2,4,4,1,2,-3,2.828427125,3.535533906,0.7071
"722",722,1,9,1.0538598,1,1,1,3,3.1623,4,1,4,2,1,1,-3,3.535533906,4.949747468,1.4142
"723",723,1,9,1.6908329,2,2,1,1,1.4142,2,4,1,3,2,-1,1,3.535533906,3.535533906,0
"724",724,1,9,1.3340647,1,2,2,2,2.8284,4,3,1,1,3,-2,2,4.242640687,4.242640687,0
"725",725,1,9,1.3865983,1,1,1,1,1.4142,2,1,2,2,1,1,-1,4.949747468,4.949747468,0
"726",726,1,9,1.6046068,1,1,2,1,2.2361,3,2,2,4,3,2,1,4.242640687,2.121320344,2.1213
"727",727,1,9,2.0002,NA,1,2,1,2.2361,3,2,3,4,2,2,-1,3.535533906,2.828427125,0.7071
"728",728,1,9,1.4618266,2,2,1,2,2.2361,3,4,2,3,4,-1,2,2.828427125,2.121320344,0.7071
"729",729,1,9,0.8926388,1,1,3,3,4.2426,6,1,4,4,1,3,-3,3.535533906,3.535533906,0
"730",730,1,9,1.129886,1,1,3,1,3.1623,4,1,3,4,2,3,-1,4.242640687,2.828427125,1.4142
"731",731,1,9,2.0000938,NA,1,2,1,2.2361,3,2,2,4,1,2,-1,4.242640687,3.535533906,0.7071
"732",732,1,9,1.893732,1,1,1,3,3.1623,4,2,1,3,4,1,3,4.949747468,2.121320344,2.8284
"733",733,1,9,2.00017,NA,1,1,1,1.4142,2,3,2,4,1,1,-1,3.535533906,3.535533906,0
"734",734,1,9,0.686373,1,1,2,1,2.2361,3,1,2,3,1,2,-1,4.949747468,4.242640687,0.7071
"735",735,1,9,0.8553587,2,2,1,1,1.4142,2,4,4,3,3,-1,-1,1.414213562,2.828427125,1.4142
"736",736,1,9,1.8097685,2,2,2,3,3.6056,5,3,4,1,1,-2,-3,2.121320344,5.656854249,3.5355
"737",737,1,9,1.4283668,1,1,1,1,1.4142,2,2,4,3,3,1,-1,2.828427125,2.828427125,0
"738",738,1,9,0.9656635,1,1,3,2,3.6056,5,1,2,4,4,3,2,4.949747468,1.414213562,3.5355
"739",739,1,9,2.0000733,NA,2,1,1,1.4142,2,3,2,2,3,-1,1,3.535533906,3.535533906,0
"740",740,1,9,1.9236188,2,2,1,3,3.1623,4,3,1,2,4,-1,3,4.242640687,2.828427125,1.4142
"741",741,2,9,1.2123011,1,1,2,1,2.2361,3,2,4,4,3,2,-1,2.828427125,2.121320344,0.7071
"742",742,2,9,2.0004265,NA,1,1,2,2.2361,3,3,3,4,1,1,-2,2.828427125,3.535533906,0.7071
"743",743,2,9,0.9363368,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"744",744,2,9,1.6565674,2,2,2,1,2.2361,3,3,1,1,2,-2,1,4.242640687,4.949747468,0.7071
"745",745,2,9,0.8979192,1,1,2,2,2.8284,4,1,2,3,4,2,2,4.949747468,2.121320344,2.8284
"746",746,2,9,1.115303,2,2,1,2,2.2361,3,2,2,1,4,-1,2,4.242640687,3.535533906,0.7071
"747",747,2,9,0.8625892,1,1,3,2,3.6056,5,1,1,4,3,3,2,5.656854249,2.121320344,3.5355
"748",748,2,9,0.634536,2,2,3,2,3.6056,5,4,2,1,4,-3,2,2.828427125,3.535533906,0.7071
"749",749,2,9,2.000132,NA,1,1,1,1.4142,2,2,2,3,1,1,-1,4.242640687,4.242640687,0
"750",750,2,9,1.4303423,1,1,1,3,3.1623,4,2,4,3,1,1,-3,2.828427125,4.242640687,1.4142
"751",751,2,9,1.5322403,2,1,1,3,3.1623,4,3,4,4,1,1,-3,2.121320344,3.535533906,1.4142
"752",752,2,9,2.0001427,NA,1,1,1,1.4142,2,3,3,4,2,1,-1,2.828427125,2.828427125,0
"753",753,2,9,1.7041345,1,1,2,1,2.2361,3,2,3,4,4,2,1,3.535533906,1.414213562,2.1213
"754",754,2,9,1.2292135,2,2,2,1,2.2361,3,3,2,1,1,-2,-1,3.535533906,5.656854249,2.1213
"755",755,2,9,0.9393414,2,2,2,1,2.2361,3,4,4,2,3,-2,-1,1.414213562,3.535533906,2.1213
"756",756,2,9,0.819603,2,2,2,1,2.2361,3,4,3,2,4,-2,1,2.121320344,2.828427125,0.7071
"757",757,2,9,2.0001087,NA,1,1,1,1.4142,2,3,1,4,2,1,1,4.242640687,2.828427125,1.4142
"758",758,2,9,0.7604803,1,1,3,1,3.1623,4,1,2,4,1,3,-1,4.949747468,3.535533906,1.4142
"759",759,2,9,1.8534375,1,2,1,1,1.4142,2,2,1,1,2,-1,1,4.949747468,4.949747468,0
"760",760,2,9,2.0000497,NA,1,1,2,2.2361,3,2,3,3,1,1,-2,3.535533906,4.242640687,0.7071
"761",761,3,9,1.9791852,1,1,2,2,2.8284,4,2,4,4,2,2,-2,2.828427125,2.828427125,0
"762",762,3,9,1.1528904,2,2,1,1,1.4142,2,3,2,2,1,-1,-1,3.535533906,4.949747468,1.4142
"763",763,3,9,0.7573805,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"764",764,3,9,0.7869502,1,1,2,1,2.2361,3,1,3,3,2,2,-1,4.242640687,3.535533906,0.7071
"765",765,3,9,0.8761933,2,2,1,1,1.4142,2,3,3,2,2,-1,-1,2.828427125,4.242640687,1.4142
"766",766,3,9,1.2038145,2,2,1,1,1.4142,2,2,2,1,1,-1,-1,4.242640687,5.656854249,1.4142
"767",767,3,9,0.7740214,1,1,3,3,4.2426,6,1,1,4,4,3,3,5.656854249,1.414213562,4.2426
"768",768,3,9,0.755988,1,1,1,1,1.4142,2,1,4,2,3,1,-1,3.535533906,3.535533906,0
"769",769,3,9,1.2780227,2,2,2,3,3.6056,5,3,1,1,4,-2,3,4.242640687,3.535533906,0.7071
"770",770,3,9,1.0598663,2,2,1,1,1.4142,2,3,1,2,2,-1,1,4.242640687,4.242640687,0
"771",771,3,9,0.5877558,1,1,3,1,3.1623,4,1,4,4,3,3,-1,3.535533906,2.121320344,1.4142
"772",772,3,9,1.7652924,1,1,2,1,2.2361,3,2,1,4,2,2,1,4.949747468,2.828427125,2.1213
"773",773,3,9,1.4408653,2,2,1,3,3.1623,4,2,1,1,4,-1,3,4.949747468,3.535533906,1.4142
