,run,id,block,RTmean
703,2,25,2,3.806026822
704,2,25,3,2.079859888
705,2,25,4,3.26075267
706,2,25,5,3.74796716
707,2,25,6,2.204772385
708,2,25,7,2.366658218
709,2,25,8,1.993957212
710,2,25,9,1.424517617
711,2,25,10,1.4979708
712,2,25,11,3.374217133
713,2,25,12,4.4210381
714,2,26,1,1.611051074
715,2,26,2,1.336373328
716,2,26,3,1.366022021
717,2,26,4,1.537569593
718,2,26,5,1.605272582
719,2,26,6,1.613017046
720,2,26,7,1.622306062
721,2,26,8,1.771871647
722,2,26,9,2.111669565
723,2,26,10,0.914016872
724,2,28,1,2.023906413
725,2,28,2,1.79087098
726,2,28,3,1.829126203
727,2,28,4,1.828513994
728,2,28,5,2.119241913
729,2,28,6,1.798780369
730,2,28,7,1.958890876
731,2,28,8,1.850643978
732,2,28,9,1.734174854
733,2,28,10,1.684147662
734,2,28,11,1.805807615
735,2,28,12,1.545245159
736,2,28,13,1.621268261
737,2,28,14,1.258868526
738,2,30,1,2.703238111
739,2,30,2,2.673347165
740,2,30,3,3.82206443
741,2,30,4,3.596354984
742,2,30,5,3.842569664
743,2,30,6,3.606472374
744,2,30,7,4.506282377
745,2,30,8,2.830408299
746,2,30,9,2.877481645
747,2,30,10,2.617808166
748,2,30,11,4.073106544
749,2,30,12,5.019529463
750,2,30,13,5.138525509
751,2,30,14,3.549665368
752,2,30,15,3.012251347
753,2,30,16,3.485345253
754,2,30,17,3.181370059
755,2,30,18,3.131971565
756,2,30,19,2.928610484
757,2,30,20,3.645881571
758,2,30,21,3.462580446
759,2,30,22,3.934924325
760,2,30,23,2.082968118
761,2,30,24,2.307525334
762,2,30,1,4.40465489
763,2,30,2,1.776806447
764,2,30,3,2.035973275
765,2,30,4,2.914884565
766,2,30,5,3.072407226
767,2,30,6,3.005932374
768,2,30,7,2.212649219
769,2,30,8,1.065894471
770,3,1,1,3.222275743
771,3,1,2,2.649262684
772,3,1,3,1.985552182
773,3,1,4,2.158665077
774,3,1,5,2.060585788
775,3,1,6,1.991514303
776,3,1,7,1.805427576
777,3,1,8,2.158945903
778,3,1,9,2.677538727
779,3,1,10,2.49703319
780,3,1,11,2.911308381
781,3,1,12,2.659732516
782,3,1,13,2.95398317
783,3,1,14,2.337122996
784,3,1,15,2.957249081
785,3,1,16,1.949241561
786,3,1,17,2.224946207
787,3,1,18,1.418441821
788,3,1,19,1.217443167
789,3,1,20,1.780880208
790,3,1,21,1.234619088
791,3,1,22,1.833512985
792,3,1,23,1.259524887
793,3,1,24,1.071148489
794,3,1,25,2.254166061
795,3,1,26,1.272951307
796,3,1,27,0.647079303
797,3,1,28,0.668843306
798,3,1,29,0.62972797
799,3,3,1,1.332664475
800,3,3,2,1.266742606
801,3,3,3,1.239402328
802,3,3,4,1.5767681
803,3,4,1,2.213320444
804,3,4,2,2.389903116
805,3,4,3,2.530750085
806,3,4,4,4.189676852
807,3,4,5,5.340010249
808,3,4,6,3.807999567
809,3,4,7,2.866051699
810,3,4,8,2.599109274
811,3,4,9,1.150657429
812,3,4,10,0.658122923
813,3,4,11,0.74971448
814,3,4,12,1.751903749
815,3,7,1,3.201904137
816,3,7,2,2.089915497
817,3,7,3,2.515363369
818,3,7,4,3.604172571
819,3,7,5,1.730579033
820,3,7,6,2.32776675
821,3,7,7,1.0561266
822,3,7,8,1.1237179
823,3,23,1,3.334846001
824,3,23,2,2.690699339
825,3,23,3,2.154124598
826,3,23,4,2.529776999
827,3,23,5,2.431406931
828,3,23,6,2.583818183
829,3,23,7,2.610890683
830,3,23,8,3.790390054
831,3,23,9,6.330319239
832,3,25,1,6.140801662
833,3,25,2,2.906489131
835,3,25,4,2.829844132
836,3,25,5,2.26209915
837,3,25,6,2.766224378
838,3,25,7,2.905752771
839,3,25,8,3.182775433
840,3,26,1,1.221630323
841,3,26,2,1.229175889
842,3,26,3,1.231965755
843,3,26,4,1.529691762
844,3,26,5,1.773434151
845,3,28,1,2.39224622
846,3,28,2,2.418693366
847,3,28,3,2.64013708
848,3,28,4,2.763029416
849,3,28,5,2.163218105
850,3,28,6,2.822161054
851,3,28,7,2.357706382
852,3,28,8,2.192602372
853,3,28,9,2.156032104
854,3,28,10,1.396922706
855,3,28,11,2.287472115
856,3,30,1,2.384664187
857,3,30,2,2.909930667
858,3,30,3,3.198124541
859,3,30,4,2.981644094
860,3,30,5,3.450099726
861,3,30,6,4.490065953
862,3,30,7,4.328903028
863,3,30,8,3.969399877
864,3,30,9,3.389142404
865,3,30,10,3.426736366
866,3,30,11,3.079370558
867,3,30,12,1.368594347
