"","run","id","face","FaceCue","cue","speed"
"128",1,"004",8,"b_8",2,2.63905732961526
"129",1,"006",8,"r_8",1,2.99573227355399
"130",1,"006",10,"b_10",2,2.484906649788
"131",1,"006",15,"b_15",2,2.19722457733622
"132",1,"006",7,"r_7",1,3.49650756146648
"133",1,"006",2,"b_2",2,3.61091791264422
"134",1,"006",1,"r_1",1,2.19722457733622
"135",1,"006",12,"b_12",2,3.46573590279973
"136",1,"006",16,"b_16",2,2.30258509299405
"137",1,"006",3,"b_3",2,3.04452243772342
"138",1,"006",13,"b_13",2,3.2188758248682
"139",1,"006",12,"r_12",1,2.89037175789616
"140",1,"006",6,"r_6",1,2.77258872223978
"141",1,"006",9,"r_9",1,2.30258509299405
"142",1,"006",5,"r_5",1,2.39789527279837
"143",1,"006",15,"r_15",1,2.77258872223978
"144",1,"006",5,"b_5",2,2.70805020110221
"145",1,"006",11,"b_11",2,3.58351893845611
"146",1,"006",2,"r_2",1,3.58351893845611
"147",1,"006",4,"r_4",1,2.70805020110221
"148",1,"006",6,"b_6",2,2.77258872223978
"149",1,"006",1,"b_1",2,3.58351893845611
"150",1,"006",11,"r_11",1,2.99573227355399
"151",1,"006",14,"b_14",2,2.19722457733622
"152",1,"006",7,"b_7",2,3.13549421592915
"153",1,"006",14,"r_14",1,2.39789527279837
"154",1,"006",9,"b_9",2,3.52636052461616
"155",1,"006",16,"r_16",1,3.2188758248682
"156",1,"006",10,"r_10",1,2.484906649788
"157",1,"006",13,"r_13",1,2.19722457733622
"158",1,"006",4,"b_4",2,3.46573590279973
"159",1,"006",3,"r_3",1,3.3322045101752
"160",1,"006",8,"b_8",2,2.89037175789616
"161",1,"007",8,"r_8",1,3.04452243772342
"162",1,"007",10,"b_10",2,2.484906649788
"163",1,"007",15,"b_15",2,2.99573227355399
"164",1,"007",7,"r_7",1,2.99573227355399
"165",1,"007",2,"b_2",2,3.09104245335832
"166",1,"007",1,"r_1",1,2.63905732961526
"167",1,"007",12,"b_12",2,2.63905732961526
"168",1,"007",16,"b_16",2,2.89037175789616
"169",1,"007",3,"b_3",2,2.94443897916644
"170",1,"007",13,"b_13",2,2.19722457733622
"171",1,"007",12,"r_12",1,3.3322045101752
"172",1,"007",6,"r_6",1,3.09104245335832
"173",1,"007",9,"r_9",1,2.39789527279837
"174",1,"007",5,"r_5",1,3.2188758248682
"175",1,"007",15,"r_15",1,2.70805020110221
"176",1,"007",5,"b_5",2,3.13549421592915
"177",1,"007",11,"b_11",2,3.40119738166216
"178",1,"007",2,"r_2",1,2.63905732961526
"179",1,"007",4,"r_4",1,3.04452243772342
"180",1,"007",6,"b_6",2,3.09104245335832
"181",1,"007",1,"b_1",2,3.04452243772342
"182",1,"007",11,"r_11",1,3.36729582998647
"183",1,"007",14,"b_14",2,2.77258872223978
"184",1,"007",7,"b_7",2,3.36729582998647
"185",1,"007",14,"r_14",1,3.04452243772342
"186",1,"007",9,"b_9",2,3.17805383034795
"187",1,"007",16,"r_16",1,2.56494935746154
"188",1,"007",10,"r_10",1,2.30258509299405
"189",1,"007",13,"r_13",1,2.30258509299405
"190",1,"007",4,"b_4",2,3.25809653802148
"191",1,"007",3,"r_3",1,2.63905732961526
"192",1,"007",8,"b_8",2,2.83321334405622
"193",1,"009",8,"r_8",1,3.3322045101752
"194",1,"009",10,"b_10",2,2.63905732961526
"195",1,"009",15,"b_15",2,2.77258872223978
"196",1,"009",7,"r_7",1,3.04452243772342
"197",1,"009",2,"b_2",2,3.13549421592915
"198",1,"009",1,"r_1",1,2.70805020110221
"199",1,"009",12,"b_12",2,3.04452243772342
"200",1,"009",16,"b_16",2,3.2188758248682
"201",1,"009",3,"b_3",2,3.55534806148941
"202",1,"009",13,"b_13",2,3.09104245335832
"203",1,"009",12,"r_12",1,3.17805383034795
"204",1,"009",6,"r_6",1,3.3322045101752
"205",1,"009",9,"r_9",1,2.70805020110221
"206",1,"009",5,"r_5",1,2.484906649788
"207",1,"009",15,"r_15",1,3.43398720448515
"208",1,"009",5,"b_5",2,3.13549421592915
"209",1,"009",11,"b_11",2,3.29583686600433
"210",1,"009",2,"r_2",1,2.484906649788
"211",1,"009",4,"r_4",1,3.52636052461616
"212",1,"009",6,"b_6",2,2.63905732961526
"213",1,"009",1,"b_1",2,3.2188758248682
"214",1,"009",11,"r_11",1,3.52636052461616
"215",1,"009",14,"b_14",2,3.3322045101752
"216",1,"009",7,"b_7",2,2.77258872223978
"217",1,"009",14,"r_14",1,2.39789527279837
"218",1,"009",9,"b_9",2,2.94443897916644
"219",1,"009",16,"r_16",1,3.46573590279973
"220",1,"009",10,"r_10",1,3.17805383034795
"221",1,"009",13,"r_13",1,2.99573227355399
"222",1,"009",4,"b_4",2,3.40119738166216
"223",1,"009",3,"r_3",1,2.94443897916644
"224",1,"009",8,"b_8",2,3.25809653802148
"225",1,"010",8,"r_8",1,2.484906649788
"226",1,"010",10,"b_10",2,2.39789527279837
"227",1,"010",15,"b_15",2,2.19722457733622
"228",1,"010",7,"r_7",1,2.63905732961526
"229",1,"010",2,"b_2",2,2.63905732961526
"230",1,"010",1,"r_1",1,2.19722457733622
"231",1,"010",12,"b_12",2,2.83321334405622
"232",1,"010",16,"b_16",2,2.07944154167984
"233",1,"010",3,"b_3",2,3.04452243772342
"234",1,"010",13,"b_13",2,2.89037175789616
"235",1,"010",12,"r_12",1,2.19722457733622
"236",1,"010",6,"r_6",1,2.99573227355399
"237",1,"010",9,"r_9",1,2.07944154167984
"238",1,"010",5,"r_5",1,1.94591014905531
"239",1,"010",15,"r_15",1,2.77258872223978
"240",1,"010",5,"b_5",2,2.99573227355399
"241",1,"010",11,"b_11",2,2.94443897916644
"242",1,"010",2,"r_2",1,2.39789527279837
"243",1,"010",4,"r_4",1,3.13549421592915
"244",1,"010",6,"b_6",2,2.56494935746154
"245",1,"010",1,"b_1",2,2.30258509299405
"246",1,"010",11,"r_11",1,2.484906649788
"247",1,"010",14,"b_14",2,2.30258509299405
"248",1,"010",7,"b_7",2,2.484906649788
"249",1,"010",14,"r_14",1,2.94443897916644
"250",1,"010",9,"b_9",2,3.2188758248682
"251",1,"010",16,"r_16",1,2.19722457733622
"252",1,"010",10,"r_10",1,2.39789527279837
"253",1,"010",13,"r_13",1,2.07944154167984
"254",1,"010",4,"b_4",2,3.09104245335832
"255",1,"010",3,"r_3",1,2.484906649788
"256",1,"010",8,"b_8",2,3.09104245335832
"257",1,"011",8,"r_8",1,2.30258509299405
"258",1,"011",10,"b_10",2,1.6094379124341
"259",1,"011",15,"b_15",2,1.38629436111989
"260",1,"011",7,"r_7",1,1.6094379124341
"261",1,"011",2,"b_2",2,2.19722457733622
"262",1,"011",1,"r_1",1,1.6094379124341
"263",1,"011",12,"b_12",2,2.30258509299405
"264",1,"011",16,"b_16",2,2.30258509299405
"265",1,"011",3,"b_3",2,1.79175946922805
"266",1,"011",13,"b_13",2,1.38629436111989
"267",1,"011",12,"r_12",1,2.30258509299405
"268",1,"011",6,"r_6",1,1.6094379124341
"269",1,"011",9,"r_9",1,1.94591014905531
"270",1,"011",5,"r_5",1,1.38629436111989
"271",1,"011",15,"r_15",1,2.07944154167984
"272",1,"011",5,"b_5",2,2.30258509299405
"273",1,"011",11,"b_11",2,1.38629436111989
"274",1,"011",2,"r_2",1,2.07944154167984
"275",1,"011",4,"r_4",1,2.07944154167984
"276",1,"011",6,"b_6",2,1.38629436111989
"277",1,"011",1,"b_1",2,2.30258509299405
"278",1,"011",11,"r_11",1,2.07944154167984
"279",1,"011",14,"b_14",2,1.09861228866811
"280",1,"011",7,"b_7",2,1.38629436111989
"281",1,"011",14,"r_14",1,2.19722457733622
"282",1,"011",9,"b_9",2,2.19722457733622
"283",1,"011",16,"r_16",1,2.19722457733622
"284",1,"011",10,"r_10",1,1.38629436111989
"285",1,"011",13,"r_13",1,1.09861228866811
"286",1,"011",4,"b_4",2,1.94591014905531
"287",1,"011",3,"r_3",1,1.79175946922805
"288",1,"011",8,"b_8",2,2.19722457733622
"289",1,"015",8,"r_8",1,1.94591014905531
"290",1,"015",10,"b_10",2,2.07944154167984
"291",1,"015",15,"b_15",2,2.19722457733622
"292",1,"015",7,"r_7",1,2.19722457733622
"293",1,"015",2,"b_2",2,2.484906649788
"294",1,"015",1,"r_1",1,1.79175946922805
"295",1,"015",12,"b_12",2,2.07944154167984
"296",1,"015",16,"b_16",2,2.39789527279837
"297",1,"015",3,"b_3",2,2.19722457733622
"298",1,"015",13,"b_13",2,1.94591014905531
"299",1,"015",12,"r_12",1,1.79175946922805
"300",1,"015",6,"r_6",1,2.07944154167984
"301",1,"015",9,"r_9",1,2.19722457733622
"302",1,"015",5,"r_5",1,2.39789527279837
"303",1,"015",15,"r_15",1,2.07944154167984
"304",1,"015",5,"b_5",2,2.39789527279837
"305",1,"015",11,"b_11",2,2.39789527279837
"306",1,"015",2,"r_2",1,2.07944154167984
"307",1,"015",4,"r_4",1,2.07944154167984
"308",1,"015",6,"b_6",2,1.94591014905531
"309",1,"015",1,"b_1",2,2.07944154167984
