metric,step,n_seeds,mean_raw,se_raw,effect_mean,seed_t,p_uncorrected,p_maxT_FWER
Fig5.5_1D_RSA_beta,500,30,0.5304450455366215,0.046253007042419234,0.5304450455366215,11.46833642729744,2.7021965608662306e-12,9.99990000099999e-06
Fig5.5_1D_RSA_beta,550,30,0.5951749112119209,0.03957639161865531,0.5951749112119209,15.038635076861594,3.1433421912784646e-15,9.99990000099999e-06
Fig5.5_1D_RSA_beta,600,30,0.6659944640722215,0.038572875275211395,0.6659944640722215,17.265875549086136,8.462626611056974e-17,9.99990000099999e-06
Fig5.5_1D_RSA_beta,650,30,0.7271771259711618,0.038802617931238986,0.7271771259711618,18.74041404267546,9.497744430103051e-18,9.99990000099999e-06
Fig5.5_1D_RSA_beta,700,30,0.7767229444194022,0.0401423007013249,0.7767229444194022,19.349238355781793,4.016323233999457e-18,9.99990000099999e-06
Fig5.5_1D_RSA_beta,750,30,0.8132507491572638,0.04156395373089056,0.8132507491572638,19.566250949626365,2.971895515649209e-18,9.99990000099999e-06
Fig5.5_1D_RSA_beta,800,30,0.8501297841295034,0.041646411752148345,0.8501297841295034,20.413037963244197,9.427615717367628e-19,9.99990000099999e-06
Fig5.5_1D_RSA_beta,850,30,0.8943024902504075,0.04064491460679506,0.8943024902504075,22.00281385511626,1.217151755579934e-19,9.99990000099999e-06
Fig5.5_1D_RSA_beta,900,30,0.9307343936690814,0.04014426381835692,0.9307343936690814,23.18474185702917,2.8884764178281516e-20,9.99990000099999e-06
Fig5.5_1D_RSA_beta,950,30,0.9635993088168674,0.039558904427762547,0.9635993088168674,24.35859442408144,7.379643960140629e-21,9.99990000099999e-06
Fig5.5_1D_RSA_beta,1000,30,0.9894157895514263,0.03771571867247188,0.9894157895514263,26.2335128264064,9.405540401014735e-22,9.99990000099999e-06
Fig5.9_consistency_omega_c,0,30,0.9544063826402028,0.010201099607544572,-0.048332049435812194,-4.50052142407386,0.00010138868580736734,0.002049979500204998
Fig5.9_consistency_omega_c,50,30,0.9146589020888011,0.014589965073018196,-0.093039905272121,-5.658341336017323,4.081900376406908e-06,0.00018999810001899982
Fig5.9_consistency_omega_c,100,30,0.7924582461516062,0.02180912675374387,-0.24469259513636,-8.257897433647544,4.190241203653346e-09,2.999970000299997e-05
Fig5.9_consistency_omega_c,150,30,0.6230329930782318,0.02523097466849323,-0.499470032254507,-11.375594124857932,3.2807622959595656e-12,9.99990000099999e-06
Fig5.9_consistency_omega_c,200,30,0.4118338644504547,0.027468330156295833,-0.9483860531855444,-14.688350468501111,5.7659668441543276e-15,9.99990000099999e-06
Fig5.9_consistency_omega_c,250,30,0.3098326633373896,0.022411459091237776,-1.2361330622255373,-19.27136869655069,4.4778505466249376e-18,9.99990000099999e-06
Fig5.9_consistency_omega_c,300,30,0.3014167040586472,0.028132123760318945,-1.2961889217884335,-16.95017187755391,1.379248291884248e-16,9.99990000099999e-06
Fig5.9_consistency_omega_c,350,30,0.34576479643583297,0.03300201361924659,-1.184584020125708,-13.147670987862407,9.546783201305658e-14,9.99990000099999e-06
Fig5.9_consistency_omega_c,400,30,0.41263880680004755,0.038126430677818346,-1.0307645057254715,-9.946089184208114,7.459932784752145e-11,9.99990000099999e-06
Fig5.9_consistency_omega_c,450,30,0.45271598050991696,0.03749030120489528,-0.9193702803419261,-9.260779941630677,3.658664912253509e-10,9.99990000099999e-06
Fig5.9_consistency_omega_c,500,30,0.4895899370312691,0.03333532889512653,-0.8095473865868108,-9.129562370005884,4.99575958388141e-10,9.99990000099999e-06
Fig5.9_consistency_omega_c,550,30,0.5253967925906181,0.025788381062866683,-0.7002064053959564,-9.851562264366429,9.255703472235701e-11,9.99990000099999e-06
Fig5.9_consistency_omega_c,600,30,0.5395482341448467,0.02246490786789102,-0.6597888640301431,-10.55005173969385,1.931833653558971e-11,9.99990000099999e-06
Fig5.9_consistency_omega_c,650,30,0.5464543034633,0.021642559343901614,-0.6428015769737424,-10.788582828890794,1.1474826099956876e-11,9.99990000099999e-06
Fig5.9_consistency_omega_c,700,30,0.5396831880013148,0.02032318914873149,-0.651292134403364,-11.594641747526035,2.078160850980745e-12,9.99990000099999e-06
Fig5.9_consistency_omega_c,750,30,0.5326584309339524,0.018618765329145314,-0.6587405175341666,-12.909917721429318,1.5039185510909528e-13,9.99990000099999e-06
Fig5.9_consistency_omega_c,800,30,0.5242098301649094,0.015436247268613944,-0.6660493191871546,-15.579538641875427,1.258367128032544e-15,9.99990000099999e-06
Fig5.9_consistency_omega_c,850,30,0.5201487834254901,0.015311144661274258,-0.6731875130714594,-16.098932443962585,5.348299205151783e-16,9.99990000099999e-06
Fig5.9_consistency_omega_c,900,30,0.5191099390387535,0.01521314070513951,-0.674389083397548,-16.589866109263866,2.4308575348573786e-16,9.99990000099999e-06
Fig5.9_consistency_omega_c,950,30,0.5194725036621094,0.014286941822873203,-0.6692519509201229,-19.579817867680926,2.9167439687023574e-18,9.99990000099999e-06
Fig5.9_consistency_omega_c,1000,30,0.5199679027001063,0.011629410510721961,-0.6616849713457328,-28.06609925963967,1.4261083821326822e-22,9.99990000099999e-06
Fig5.9_task_omega_a,0,30,1.1239452362060547,0.008253297590207969,0.11610097988657679,16.405572136145345,3.260914707660611e-16,9.99990000099999e-06
Fig5.9_task_omega_a,50,30,1.114779814084371,0.005480195160396757,0.10831414085641573,22.39946991783477,7.454564824339208e-20,9.99990000099999e-06
Fig5.9_task_omega_a,100,30,1.1102288405100504,0.007763585767151095,0.10388711974108729,15.34312297880281,1.871638320185867e-15,9.99990000099999e-06
Fig5.9_task_omega_a,150,30,1.0763782739639283,0.017055948285181536,0.07003975769986347,4.488374989819188,0.00010484927709484903,0.002129978700212998
Fig5.9_task_omega_a,200,30,0.9454128324985505,0.028897152072839244,-0.06729534732143178,-2.5347371042090843,0.016907669839619503,0.17356826431735684
Fig5.9_task_omega_a,250,30,0.8951553324858348,0.0228250655708056,-0.11838370104544894,-5.439479214972927,7.482660946814497e-06,0.00026999730002699973
Fig5.9_task_omega_a,300,30,0.945658560593923,0.03344855595654933,-0.07122811414606639,-2.2830111191829436,0.02994449617570752,0.2699073009269907
Fig5.9_task_omega_a,350,30,0.9922125021616618,0.03311529239575671,-0.022710505434475895,-0.7226828827661546,0.47566297502924676,0.997510024899751
Fig5.9_task_omega_a,400,30,1.0844070414702098,0.04844750619223011,0.0547961892283026,1.316815639408864,0.1982121786718376,0.8535014649853502
Fig5.9_task_omega_a,450,30,1.0806511600812276,0.045053584306565655,0.05560643780092153,1.4740698896243847,0.1512363105607826,0.7650423495765042
Fig5.9_task_omega_a,500,30,1.0532566487789154,0.032699477611325835,0.03868245074674583,1.2977296725462961,0.2046081872000259,0.8629413705862942
Fig5.9_task_omega_a,550,30,1.0296923538049063,0.0282298754356958,0.018059528094962186,0.644499561108866,0.5243172500819575,0.999250007499925
Fig5.9_task_omega_a,600,30,0.976519912481308,0.03450631255972161,-0.04327391899223019,-1.1535627125070536,0.25809859248116496,0.924490755092449
Fig5.9_task_omega_a,650,30,0.9228323181470235,0.03590560138699572,-0.10446519645582114,-2.49145579457313,0.018690436350079363,0.18747812521874782
Fig5.9_task_omega_a,700,30,0.8552466571331024,0.03470765790967179,-0.1819354979118847,-4.247525628154148,0.00020352572538992163,0.003799962000379996
Fig5.9_task_omega_a,750,30,0.797741025686264,0.03338952822895914,-0.25233048972124855,-5.851001138347321,2.3989245312070616e-06,0.00015999840001599985
Fig5.9_task_omega_a,800,30,0.7489466587702434,0.0319297009955874,-0.3153496158646153,-7.401779989320965,3.722762565293018e-08,3.999960000399996e-05
Fig5.9_task_omega_a,850,30,0.7125760734081268,0.03228009165442599,-0.36605133762975045,-8.613427573031712,1.738902855338249e-09,9.99990000099999e-06
Fig5.9_task_omega_a,900,30,0.6772347152233124,0.031036619192433085,-0.4157646462815896,-10.160233304319382,4.595931239732341e-11,9.99990000099999e-06
Fig5.9_task_omega_a,950,30,0.6529106626907984,0.029449247330744634,-0.45048539380651875,-11.532443996364568,2.3644686411779818e-12,9.99990000099999e-06
Fig5.9_task_omega_a,1000,30,0.6314998159805933,0.025934166030881216,-0.4797365844339267,-13.473660799185616,5.168924829661159e-14,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,0,30,0.9920091143775355,0.004238335394814597,-0.00830111948340024,-1.871919127648837,0.0713349833036119,0.44113558864411356
Fig5.11_accuracy_ratio_incong_over_cong,50,30,0.9741754116754117,0.011053264956841204,-0.02823383197653825,-2.3023227174242016,0.028688763277850134,0.13621863781362187
Fig5.11_accuracy_ratio_incong_over_cong,100,30,0.9287532324179939,0.02103521938041633,-0.08228728656501934,-3.3241738694249245,0.0024114696330494235,0.011619883801161988
Fig5.11_accuracy_ratio_incong_over_cong,150,30,0.7339541629811236,0.03349038969565779,-0.34112625832249943,-7.176050926065923,6.721782965013998e-08,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,200,30,0.44503620237813074,0.027616203941737836,-0.8599935302859435,-14.834571083010756,4.469922110191251e-15,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,250,30,0.34174559688614053,0.01655536342727402,-1.1027750828970684,-25.538257292465932,1.9865005959244856e-21,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,300,30,0.34893992862418866,0.028550705015461905,-1.12302517774677,-17.404612693086268,6.843762359212259e-17,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,350,30,0.416816250581785,0.048630567344932395,-1.0155992681434374,-11.113026495576038,5.714135797709343e-12,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,400,30,0.5259998233357152,0.06112405754760849,-0.8009326710097234,-7.946504437502728,9.175600588813117e-09,9.99990000099999e-06
Fig5.11_accuracy_ratio_incong_over_cong,450,30,0.6143416682659295,0.07112631940440917,-0.6600867794395291,-6.17830688937505,9.77723737537647e-07,1.999980000199998e-05
Fig5.11_accuracy_ratio_incong_over_cong,500,30,0.7022680451535938,0.0637412838864339,-0.49135325142495884,-4.820328382012114,4.1790760861857044e-05,0.00034999650003499967
Fig5.11_accuracy_ratio_incong_over_cong,550,30,0.8170419650924353,0.06376933075866337,-0.31213131163261926,-3.3559290971677247,0.0022209928470799333,0.01078989210107899
Fig5.11_accuracy_ratio_incong_over_cong,600,30,0.898855238620934,0.06075954153290212,-0.1961255395902117,-2.282648636406057,0.029968534724440134,0.16190838091619084
Fig5.11_accuracy_ratio_incong_over_cong,650,30,0.9901564546349964,0.05324741608498756,-0.07759995499982114,-0.9804357290788985,0.33498010710688986,0.9767002329976701
Fig5.11_accuracy_ratio_incong_over_cong,700,30,1.0086732060294847,0.04945861650910329,-0.04676784666228415,-0.6581349517509822,0.5156424495964497,0.999110008899911
Fig5.11_accuracy_ratio_incong_over_cong,750,30,1.016431982228908,0.04239460911926718,-0.027144176275207946,-0.4250850341123425,0.6739123739720602,1.0
Fig5.11_accuracy_ratio_incong_over_cong,800,30,1.0094826972774287,0.03705774426466056,-0.024625668277347513,-0.4349133666482771,0.6668447689197529,1.0
Fig5.11_accuracy_ratio_incong_over_cong,850,30,0.9858455486358021,0.03402339734216965,-0.04382903985064678,-0.8309707170872788,0.4127797726445663,0.98810011899881
Fig5.11_accuracy_ratio_incong_over_cong,900,30,0.9932991894522146,0.034232605238272706,-0.033014301452296814,-0.6817395632060478,0.5008124586774374,0.997650023499765
Fig5.11_accuracy_ratio_incong_over_cong,950,30,0.9705628351163448,0.023503069496584247,-0.04453119669738349,-1.2175120469199938,0.23322400701202564,0.9042709572904271
Fig5.11_accuracy_ratio_incong_over_cong,1000,30,0.9934303681492587,0.018814782060495795,-0.01389085995356385,-0.565595461935061,0.576019211979942,1.0
