metric,step,mean_log_change,seed_t,p_uncorrected,p_maxT_FWER
consistency_change_from_init,50,-0.04470785583630883,-4.918570707555469,3.180892069183843e-05,0.0009099909000909991
consistency_change_from_init,100,-0.1963605457005478,-7.7988182804691455,1.3364575866167343e-08,9.99990000099999e-06
consistency_change_from_init,150,-0.45113798281869477,-10.880804086283796,9.399538226500126e-12,9.99990000099999e-06
consistency_change_from_init,200,-0.9000540037497321,-14.142669522086809,1.517505034799696e-14,9.99990000099999e-06
consistency_change_from_init,250,-1.1878010127897247,-18.289503684871125,1.8247312475414707e-17,9.99990000099999e-06
consistency_change_from_init,300,-1.247856872352621,-16.314955761719535,3.771356374354803e-16,9.99990000099999e-06
consistency_change_from_init,350,-1.136251970689896,-12.537467088917587,3.102293743193273e-13,9.99990000099999e-06
consistency_change_from_init,400,-0.9824324562896593,-9.356313978391563,2.9204580647763814e-10,9.99990000099999e-06
consistency_change_from_init,450,-0.871038230906114,-8.661532046546624,1.5457761446382076e-09,9.99990000099999e-06
consistency_change_from_init,500,-0.7612153371509986,-8.521012482565114,2.1820803082463803e-09,9.99990000099999e-06
consistency_change_from_init,550,-0.6518743559601441,-9.193109814922797,4.295010314618544e-10,9.99990000099999e-06
consistency_change_from_init,600,-0.6114568145943309,-9.743522868475887,1.186016944384013e-10,9.99990000099999e-06
consistency_change_from_init,650,-0.5944695275379303,-9.995512151647828,6.667412967035225e-11,9.99990000099999e-06
consistency_change_from_init,700,-0.6029600849675515,-10.728627446883841,1.3071280809958722e-11,9.99990000099999e-06
consistency_change_from_init,750,-0.6104084680983543,-11.93819658101262,1.0270601252008073e-12,9.99990000099999e-06
consistency_change_from_init,800,-0.6177172697513423,-14.33488016057808,1.0757440662636529e-14,9.99990000099999e-06
consistency_change_from_init,850,-0.624855463635647,-14.814951241907576,4.624740433911724e-15,9.99990000099999e-06
consistency_change_from_init,900,-0.6260570339617357,-15.17600010569144,2.4852561548858222e-15,9.99990000099999e-06
consistency_change_from_init,950,-0.6209199014843108,-17.726874468819688,4.201895989110267e-17,9.99990000099999e-06
consistency_change_from_init,1000,-0.6133529219099206,-24.47479372513222,6.4682778635004885e-21,9.99990000099999e-06
task_change_from_init,50,-0.0077868390301610284,-2.0605840825770376,0.04841323997134817,0.33737662623373765
task_change_from_init,100,-0.012213860145489494,-1.7547708964345743,0.08986013208643945,0.5261947380526195
task_change_from_init,150,-0.046061222186713296,-3.1818765427635514,0.003475524930885664,0.03780962190378096
task_change_from_init,200,-0.18339632720800852,-6.785598262835951,1.893601740312791e-07,1.999980000199998e-05
task_change_from_init,250,-0.23448468093202568,-9.9195258156561,7.925159533720579e-11,9.99990000099999e-06
task_change_from_init,300,-0.1873290940326432,-5.765626306763047,3.0352998714342696e-06,0.00013999860001399987
task_change_from_init,350,-0.13881148532105264,-4.354744360649626,0.00015157748598802973,0.002749972500274997
task_change_from_init,400,-0.06130479065827415,-1.5241186866391423,0.13831123572681256,0.6860231397686023
task_change_from_init,450,-0.06049454208565522,-1.6528279157356351,0.10915327321157511,0.5969640303596964
task_change_from_init,500,-0.07741852913983095,-2.6665684072321842,0.012400173144911434,0.11059889401105989
task_change_from_init,550,-0.09804145179161458,-3.5611668514077874,0.0012975241063123062,0.016009839901600983
task_change_from_init,600,-0.15937489887880693,-4.268835868625446,0.0001919629509848517,0.0032699673003269967
task_change_from_init,650,-0.2205661763423979,-5.288732245246344,1.137002620354564e-05,0.0004099959000409996
task_change_from_init,700,-0.2980364777984615,-6.853753954454976,1.5785363550063637e-07,1.999980000199998e-05
task_change_from_init,750,-0.36843146960782536,-8.276700157217261,3.998149288585018e-09,9.99990000099999e-06
task_change_from_init,800,-0.43145059575119216,-9.710979823243104,1.2783662938320538e-10,9.99990000099999e-06
task_change_from_init,850,-0.48215231751632714,-10.859387621698517,9.844327912573287e-12,9.99990000099999e-06
task_change_from_init,900,-0.5318656261681663,-12.458214697231906,3.626114441594746e-13,9.99990000099999e-06
task_change_from_init,950,-0.5665863736930954,-13.943331812021677,2.1763159482622107e-14,9.99990000099999e-06
task_change_from_init,1000,-0.5958375643205037,-16.128021599209056,5.101410645051591e-16,9.99990000099999e-06
