scenario,scenario_family,nuisance_multiplier,reliability_ratio,outcome,n_studies,n_detected,rate,ci95_low,ci95_high,mean_task_index,mean_congruency_index,mean_task_t,mean_congruency_t
congruency_exposure_null,main_null,0.5,1.0,task_detected,2000,60,0.03,0.022969550402137478,0.038448856096270134,-0.0007146388827484982,-0.0010602129098205384,-0.10698490643735196,-0.1393044480363237
congruency_exposure_null,main_null,0.5,1.0,congruency_detected,2000,62,0.031,0.02384836247313162,0.03956611985866994,-0.0007146388827484982,-0.0010602129098205384,-0.10698490643735196,-0.1393044480363237
congruency_exposure_null,main_null,0.5,1.0,any_detected,2000,118,0.059,0.049076302803933734,0.07023955014453871,-0.0007146388827484982,-0.0010602129098205384,-0.10698490643735196,-0.1393044480363237
congruency_exposure_null,main_null,1.0,1.0,task_detected,2000,65,0.0325,0.02517050832602746,0.04123817360406891,-0.0004781097954329549,-0.0012478242076381704,-0.07473728127759231,-0.16803501300368479
congruency_exposure_null,main_null,1.0,1.0,congruency_detected,2000,53,0.0265,0.01991190590797642,0.03452066078759859,-0.0004781097954329549,-0.0012478242076381704,-0.07473728127759231,-0.16803501300368479
congruency_exposure_null,main_null,1.0,1.0,any_detected,2000,114,0.057,0.04724496680126704,0.06807750437936275,-0.0004781097954329549,-0.0012478242076381704,-0.07473728127759231,-0.16803501300368479
congruency_exposure_null,main_null,2.0,1.0,task_detected,2000,74,0.037,0.02916246241226486,0.046229338801493554,-0.00015070117528101628,-0.000901518474350437,-0.027445218447450757,-0.12623269405735393
congruency_exposure_null,main_null,2.0,1.0,congruency_detected,2000,61,0.0305,0.0234086863264066,0.03900775206020931,-0.00015070117528101628,-0.000901518474350437,-0.027445218447450757,-0.12623269405735393
congruency_exposure_null,main_null,2.0,1.0,any_detected,2000,133,0.0665,0.05597247989981572,0.078318872562347,-0.00015070117528101628,-0.000901518474350437,-0.027445218447450757,-0.12623269405735393
downstream_decision_weighting_null,main_null,1.0,1.0,task_detected,2000,69,0.0345,0.026940219567643694,0.04346087145229037,-0.0007843791076141515,-0.0010024679245514091,-0.10905483006304516,-0.13629711431546887
downstream_decision_weighting_null,main_null,1.0,1.0,congruency_detected,2000,57,0.0285,0.021655518443871286,0.03676886985847282,-0.0007843791076141515,-0.0010024679245514091,-0.10905483006304516,-0.13629711431546887
downstream_decision_weighting_null,main_null,1.0,1.0,any_detected,2000,123,0.0615,0.05137017237511748,0.0729374613170472,-0.0007843791076141515,-0.0010024679245514091,-0.10905483006304516,-0.13629711431546887
fixed_grid_null,main_null,1.0,1.0,task_detected,2000,62,0.031,0.02384836247313162,0.03956611985866994,-0.0007147091539707611,-0.0011389483807744548,-0.10518097452609262,-0.15701328349596583
fixed_grid_null,main_null,1.0,1.0,congruency_detected,2000,47,0.0235,0.017316813015912928,0.03112855081898538,-0.0007147091539707611,-0.0011389483807744548,-0.10518097452609262,-0.15701328349596583
fixed_grid_null,main_null,1.0,1.0,any_detected,2000,107,0.0535,0.04404871301914272,0.06428544270902882,-0.0007147091539707611,-0.0011389483807744548,-0.10518097452609262,-0.15701328349596583
global_context_difficulty_null,main_null,0.5,1.0,task_detected,2000,60,0.03,0.022969550402137478,0.038448856096270134,-0.00045989995494945566,-0.0010462371196179358,-0.06995481607294132,-0.1461387988709245
global_context_difficulty_null,main_null,0.5,1.0,congruency_detected,2000,53,0.0265,0.01991190590797642,0.03452066078759859,-0.00045989995494945566,-0.0010462371196179358,-0.06995481607294132,-0.1461387988709245
global_context_difficulty_null,main_null,0.5,1.0,any_detected,2000,111,0.0555,0.04587376649393307,0.06645369553133039,-0.00045989995494945566,-0.0010462371196179358,-0.06995481607294132,-0.1461387988709245
global_context_difficulty_null,main_null,1.0,1.0,task_detected,2000,67,0.0335,0.026054421067532103,0.042350446233080964,-0.0003550018868632624,-0.001040738873872225,-0.04294095253246114,-0.157443481184679
global_context_difficulty_null,main_null,1.0,1.0,congruency_detected,2000,43,0.0215,0.015602297625726227,0.028852041685322925,-0.0003550018868632624,-0.001040738873872225,-0.04294095253246114,-0.157443481184679
global_context_difficulty_null,main_null,1.0,1.0,any_detected,2000,109,0.0545,0.04496077079948498,0.06537003226128174,-0.0003550018868632624,-0.001040738873872225,-0.04294095253246114,-0.157443481184679
global_context_difficulty_null,main_null,2.0,1.0,task_detected,2000,65,0.0325,0.02517050832602746,0.04123817360406891,-0.0006820528662401818,-0.0005070565173376657,-0.11151255898790015,-0.07360250540908587
global_context_difficulty_null,main_null,2.0,1.0,congruency_detected,2000,67,0.0335,0.026054421067532103,0.042350446233080964,-0.0006820528662401818,-0.0005070565173376657,-0.11151255898790015,-0.07360250540908587
global_context_difficulty_null,main_null,2.0,1.0,any_detected,2000,130,0.065,0.05458983750817441,0.07670637897458908,-0.0006820528662401818,-0.0005070565173376657,-0.11151255898790015,-0.07360250540908587
unequal_reliability_null,main_null,1.0,1.0,task_detected,2000,70,0.035,0.02738380113844246,0.044015415278486306,-0.0006213152171347884,-0.0011358527462037428,-0.09527866123849207,-0.15290988971718275
unequal_reliability_null,main_null,1.0,1.0,congruency_detected,2000,61,0.0305,0.0234086863264066,0.03900775206020931,-0.0006213152171347884,-0.0011358527462037428,-0.09527866123849207,-0.15290988971718275
unequal_reliability_null,main_null,1.0,1.0,any_detected,2000,130,0.065,0.05458983750817441,0.07670637897458908,-0.0006213152171347884,-0.0011358527462037428,-0.09527866123849207,-0.15290988971718275
unequal_reliability_null,main_null,1.0,1.5,task_detected,2000,65,0.0325,0.02517050832602746,0.04123817360406891,-0.001226332436870997,-0.0018434669661835086,-0.16748512495450996,-0.2063195013110949
unequal_reliability_null,main_null,1.0,1.5,congruency_detected,2000,47,0.0235,0.017316813015912928,0.03112855081898538,-0.001226332436870997,-0.0018434669661835086,-0.16748512495450996,-0.2063195013110949
unequal_reliability_null,main_null,1.0,1.5,any_detected,2000,111,0.0555,0.04587376649393307,0.06645369553133039,-0.001226332436870997,-0.0018434669661835086,-0.16748512495450996,-0.2063195013110949
unequal_reliability_null,main_null,1.0,2.0,task_detected,2000,50,0.025,0.01861110567633712,0.03282777114900505,-0.0014918107485950448,-0.002127315951912862,-0.19650574365648202,-0.21230592590722158
unequal_reliability_null,main_null,1.0,2.0,congruency_detected,2000,52,0.026,0.019477617245196987,0.033957034721606806,-0.0014918107485950448,-0.002127315951912862,-0.19650574365648202,-0.21230592590722158
unequal_reliability_null,main_null,1.0,2.0,any_detected,2000,102,0.051,0.04177283849072044,0.061569753431508376,-0.0014918107485950448,-0.002127315951912862,-0.19650574365648202,-0.21230592590722158
