noise_level,n_calibration_studies,joint_threshold,task_t_mean,congruency_t_mean,max_t_95
0.5,2000,2.0221248493139843,-0.056977544452035477,-0.0831553542098493,2.0221248493139843
1.0,2000,1.860707283093257,-0.13576212978141555,-0.16623359180291886,1.860707283093257
1.5,2000,1.8349145451560531,-0.152913271606744,-0.17660822053542183,1.8349145451560531
