scenario,scenario_family,rho,noise_level,expected,n_studies,n_correct,recovery_accuracy,ci95_low,ci95_high,task_detection_rate,congruency_detection_rate,mean_task_index,mean_congruency_index
true_both_warps,positive_control,0.5,0.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.6638588327423156,0.5449998553092039
true_both_warps,positive_control,0.5,1.0,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.5210214011140076,0.476442343019603
true_both_warps,positive_control,0.5,1.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.4025740479431562,0.399903582655272
true_both_warps,positive_control,0.6,0.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.5613980662403619,0.48983504601131167
true_both_warps,positive_control,0.6,1.0,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.43474953613840905,0.4262732657112785
true_both_warps,positive_control,0.6,1.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.33202465128706127,0.35629287677522714
true_both_warps,positive_control,0.7,0.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.44242784491095316,0.40181042555251595
true_both_warps,positive_control,0.7,1.0,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.337443094987769,0.3475921880166529
true_both_warps,positive_control,0.7,1.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.25449374613298015,0.2878888190014072
true_both_warps,positive_control,0.8,0.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.30871082182599935,0.28740055698529327
true_both_warps,positive_control,0.8,1.0,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.23163867399290994,0.24607341563200963
true_both_warps,positive_control,0.8,1.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.17259598740747936,0.2015452851647113
true_both_warps,positive_control,0.9,0.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.16041821817891244,0.15134754817523446
true_both_warps,positive_control,0.9,1.0,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.11841777470976575,0.12747912017816201
true_both_warps,positive_control,0.9,1.5,both,500,500,1.0,0.9926493899480923,1.0,1.0,1.0,0.08642269567789546,0.10338660040979757
true_both_warps,positive_control,1.0,0.5,neither,500,479,0.958,0.9365130594670811,0.9738164232238529,0.022,0.022,-3.9345901858858376e-05,-0.0003131580451355641
true_both_warps,positive_control,1.0,1.0,neither,500,469,0.938,0.9131474025208987,0.9574889387036145,0.034,0.032,-0.0004758980792525202,-0.0011591442685972824
true_both_warps,positive_control,1.0,1.5,neither,500,463,0.926,0.89944112525353,0.9473648914510048,0.038,0.036,-0.0010916819349545569,-0.0013437505086880156
true_congruency_warp,positive_control,0.5,0.5,congruency_only,500,484,0.968,0.9485532317083544,0.9816008146763601,0.032,1.0,-0.00021805654923780202,0.6372771364744013
true_congruency_warp,positive_control,0.5,1.0,congruency_only,500,485,0.97,0.951001774291181,0.9831140157961268,0.03,1.0,-0.0007209535620828946,0.5610157767305384
true_congruency_warp,positive_control,0.5,1.5,congruency_only,500,484,0.968,0.9485532317083544,0.9816008146763601,0.032,1.0,-0.0009051950143339481,0.4749713911635526
true_congruency_warp,positive_control,0.6,0.5,congruency_only,500,484,0.968,0.9485532317083544,0.9816008146763601,0.032,1.0,-6.428336866578607e-05,0.537176227912149
true_congruency_warp,positive_control,0.6,1.0,congruency_only,500,477,0.954,0.9317745721187621,0.9706198246075972,0.046,1.0,-0.00029760777770333145,0.4692253231414691
true_congruency_warp,positive_control,0.6,1.5,congruency_only,500,485,0.97,0.951001774291181,0.9831140157961268,0.03,1.0,-0.0005820571943446086,0.3940058001714954
true_congruency_warp,positive_control,0.7,0.5,congruency_only,500,493,0.986,0.9713683838166639,0.9943532389296755,0.014,1.0,-0.0005705781839671865,0.42225189234436067
true_congruency_warp,positive_control,0.7,1.0,congruency_only,500,484,0.968,0.9485532317083544,0.9816008146763601,0.032,1.0,-0.000920294710170993,0.36508708548688573
true_congruency_warp,positive_control,0.7,1.5,congruency_only,500,482,0.964,0.9436998237982089,0.9785271434139067,0.036,1.0,-0.0005578816931546358,0.30318305289931813
true_congruency_warp,positive_control,0.8,0.5,congruency_only,500,484,0.968,0.9485532317083544,0.9816008146763601,0.032,1.0,-0.000221779139445615,0.29352763249208885
true_congruency_warp,positive_control,0.8,1.0,congruency_only,500,483,0.966,0.9461196492639231,0.9800713999537937,0.034,1.0,-0.0005783003485393365,0.25104591479794214
true_congruency_warp,positive_control,0.8,1.5,congruency_only,500,478,0.956,0.9341389996764051,0.9722232327144282,0.044,1.0,-0.0007644774714720059,0.20640980698978278
true_congruency_warp,positive_control,0.9,0.5,congruency_only,500,477,0.954,0.9317745721187621,0.9706198246075972,0.046,1.0,8.161837890778924e-05,0.15204395009153468
true_congruency_warp,positive_control,0.9,1.0,congruency_only,500,479,0.958,0.9365130594670811,0.9738164232238529,0.042,1.0,-0.0007865430422655335,0.12867289600998685
true_congruency_warp,positive_control,0.9,1.5,congruency_only,500,486,0.972,0.9534666730085158,0.9846093993261619,0.028,1.0,-0.0009748343593639577,0.10362629157442153
true_congruency_warp,positive_control,1.0,0.5,neither,500,480,0.96,0.9388973906117553,0.9753986879144546,0.02,0.02,-0.00048366659570523547,-0.00045221526039672486
true_congruency_warp,positive_control,1.0,1.0,neither,500,465,0.93,0.9039889084073668,0.9507613552796212,0.03,0.04,-0.0011134043803488244,-0.0009765046176697177
true_congruency_warp,positive_control,1.0,1.5,neither,500,465,0.93,0.9039889084073668,0.9507613552796212,0.032,0.038,-0.0010840168831129547,-0.002700962134307326
true_task_warp,positive_control,0.5,0.5,task_only,500,483,0.966,0.9461196492639231,0.9800713999537937,1.0,0.034,0.6638620873598124,-0.0005588154933078175
true_task_warp,positive_control,0.5,1.0,task_only,500,484,0.968,0.9485532317083544,0.9816008146763601,1.0,0.032,0.5209094129106898,-0.0009387939236702121
true_task_warp,positive_control,0.5,1.5,task_only,500,489,0.978,0.9609774491551912,0.9889677236387425,1.0,0.022,0.402618714361041,-0.0023149348956122886
true_task_warp,positive_control,0.6,0.5,task_only,500,492,0.984,0.9687179983101469,0.9930676787975165,1.0,0.016,0.5612939461699561,-0.0002918971061176566
true_task_warp,positive_control,0.6,1.0,task_only,500,487,0.974,0.9559495631431262,0.9860850699371403,1.0,0.026,0.43474690947366346,-0.000849109152308248
true_task_warp,positive_control,0.6,1.5,task_only,500,489,0.978,0.9609774491551912,0.9889677236387425,1.0,0.022,0.3320715253609706,-0.001813391093299903
true_task_warp,positive_control,0.7,0.5,task_only,500,492,0.984,0.9687179983101469,0.9930676787975165,1.0,0.016,0.4425038259597135,-0.00040138893436500944
true_task_warp,positive_control,0.7,1.0,task_only,500,486,0.972,0.9534666730085158,0.9846093993261619,1.0,0.028,0.33781537056215566,-0.0010780984158410077
true_task_warp,positive_control,0.7,1.5,task_only,500,486,0.972,0.9534666730085158,0.9846093993261619,1.0,0.028,0.254812541487478,-0.0021548269370829736
true_task_warp,positive_control,0.8,0.5,task_only,500,488,0.976,0.9584523812003137,0.9875387609404443,1.0,0.024,0.30856420011637986,-0.0005009235661810456
true_task_warp,positive_control,0.8,1.0,task_only,500,487,0.974,0.9559495631431262,0.9860850699371403,1.0,0.026,0.23162150174651588,-0.0010107575674035863
true_task_warp,positive_control,0.8,1.5,task_only,500,489,0.978,0.9609774491551912,0.9889677236387425,1.0,0.022,0.17250313427783592,-0.0015435924452729644
true_task_warp,positive_control,0.9,0.5,task_only,500,489,0.978,0.9609774491551912,0.9889677236387425,1.0,0.022,0.16064195681769064,-0.0002546370798200322
true_task_warp,positive_control,0.9,1.0,task_only,500,480,0.96,0.9388973906117553,0.9753986879144546,1.0,0.04,0.11820441239485374,-0.0012194961431317743
true_task_warp,positive_control,0.9,1.5,task_only,500,486,0.972,0.9534666730085158,0.9846093993261619,1.0,0.028,0.08668551193555173,-0.002515493918180343
true_task_warp,positive_control,1.0,0.5,neither,500,474,0.948,0.9247336289693778,0.9657543019172321,0.028,0.026,-0.00024372882458762073,-0.00042868791894165435
true_task_warp,positive_control,1.0,1.0,neither,500,462,0.924,0.8971744178850064,0.9456592187560884,0.036,0.04,-0.0011352171631265518,-0.0010752236972515273
true_task_warp,positive_control,1.0,1.5,neither,500,463,0.926,0.89944112525353,0.9473648914510048,0.042,0.034,-0.0010118419900080398,-0.0018858730191941523
