onset	duration	trial_type	relevant_rank	irrelevant_rank	E
18.7595894	2	F2	1.0	3.0	1.414213562
38.5574555	2	F2	4.0	2.0	2.236067977
60.2344721	2	F2	2.0	2.0	2.236067977
76.4843429	2	F2	1.0	4.0	2.236067977
93.5874019	2	F2	4.0	1.0	4.242640687
108.9364944	2	F2	1.0	4.0	3.16227766
128.8192418	2	F2	2.0	3.0	2.236067977
150.3742308	2	F2	2.0	1.0	2.236067977
168.3334156	2	F2	4.0	2.0	3.16227766
185.9101765	2	F2	1.0	2.0	2.236067977
201.4641798	2	F2	4.0	4.0	3.16227766
224.1975331	2	F2	1.0	3.0	2.236067977
250.6614012	2	F2	2.0	3.0	1.414213562
267.1268791	2	F2	2.0	1.0	1.414213562
289.7088418	2	F2	3.0	2.0	2.236067977
305.7621616	2	F2	2.0	1.0	2.828427125
323.0129688	2	F2	4.0	3.0	1.414213562
340.0629933	2	F2	3.0	1.0	3.605551275
355.5117407	2	F2	1.0	1.0	2.828427125
371.0371809	2	F2	4.0	2.0	2.236067977
