onset	duration	trial_type	relevant_rank	irrelevant_rank
29.1196846	2	unchoose	2	4
50.5451319	2	unchoose	4	1
84.5266463	2	unchoose	4	3
114.9244431	2	unchoose	4	4
135.2259336	2	unchoose	3	1
159.8167238	2	unchoose	1	2
183.0063539	2	unchoose	2	4
220.7608497	2	unchoose	4	3
306.9799011	2	unchoose	1	3
324.3471421	2	unchoose	3	3
343.6000801	2	unchoose	4	1
17.9806136	2	unchoose	4	4
75.8996417	2	unchoose	1	3
105.4634361	2	unchoose	1	4
208.3187873	2	unchoose	2	3
247.0870186	2	unchoose	3	2
262.6356465	2	unchoose	1	4
279.5191445	2	unchoose	4	3
298.0134295	2	unchoose	3	3
367.4756903	2	unchoose	3	3
