onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.305186	2	incon	4.0	2.0	2.0	2.0
34.7370289	2	con	2.0	1.0	1.0	1.0
49.4695757	2	incon	4.0	3.0	3.0	1.0
67.0350352	2	incon	3.0	2.0	2.0	1.0
81.6509438	2	con	2.0	2.0	1.0	1.0
99.0998103	2	con	1.0	1.0	1.0	1.0
116.4497578	2	con	4.0	4.0	3.0	3.0
132.0988906	2	incon	2.0	3.0	1.0	1.0
150.4836655	2	incon	1.0	4.0	2.0	3.0
168.2456095	2	incon	2.0	2.0	1.0	1.0
190.9109567	2	incon	4.0	3.0	3.0	1.0
206.6241263	2	con	4.0	2.0	2.0	1.0
223.508924	2	incon	1.0	4.0	1.0	3.0
239.841794	2	incon	1.0	4.0	1.0	1.0
255.3553548	2	con	1.0	3.0	3.0	1.0
276.0087855	2	con	1.0	3.0	2.0	1.0
291.2238461	2	incon	2.0	3.0	2.0	2.0
306.2221921	2	incon	3.0	1.0	1.0	3.0
325.7417382	2	incon	2.0	4.0	1.0	1.0
341.6241703	2	incon	3.0	4.0	1.0	1.0

