onset	duration	trial_type	relevant_rank	irrelevant_rank
27.1820487	2	unchoose	2	2
43.9822973	2	unchoose	2	4
76.7149474	2	unchoose	4	3
112.7004959	2	unchoose	4	4
136.7079451	2	unchoose	1	3
159.1641641	2	unchoose	3	3
176.3305212	2	unchoose	3	1
209.8974258	2	unchoose	2	2
290.3442376	2	unchoose	2	4
307.9798956	2	unchoose	4	3
327.8159885	2	unchoose	3	4
17.4058841	2	unchoose	1	2
66.211645	2	unchoose	4	3
100.4259267	2	unchoose	4	1
201.2696115	2	unchoose	1	4
232.603214	2	unchoose	1	1
251.5335705	2	unchoose	4	4
266.4328168	2	unchoose	3	2
281.4518616	2	unchoose	3	1
351.9437143	2	unchoose	2	4
