onset	duration	trial_type	relevant_rank	irrelevant_rank	E
17.305186	2	F2	4.0	2.0	2.828427125
34.7370289	2	F2	2.0	1.0	1.414213562
49.4695757	2	F2	4.0	3.0	3.16227766
67.0350352	2	F2	3.0	2.0	2.236067977
81.6509438	2	F2	2.0	2.0	1.414213562
99.0998103	2	F2	1.0	1.0	1.414213562
116.4497578	2	F2	4.0	4.0	4.242640687
132.0988906	2	F2	2.0	3.0	1.414213562
150.4836655	2	F2	1.0	4.0	3.605551275
168.2456095	2	F2	2.0	2.0	1.414213562
190.9109567	2	F2	4.0	3.0	3.16227766
206.6241263	2	F2	4.0	2.0	2.236067977
223.508924	2	F2	1.0	4.0	3.16227766
239.841794	2	F2	1.0	4.0	1.414213562
255.3553548	2	F2	1.0	3.0	3.16227766
276.0087855	2	F2	1.0	3.0	2.236067977
291.2238461	2	F2	2.0	3.0	2.828427125
306.2221921	2	F2	3.0	1.0	3.16227766
325.7417382	2	F2	2.0	4.0	1.414213562
341.6241703	2	F2	3.0	4.0	1.414213562
