onset	duration	trial_type	relevant_rank	irrelevant_rank
10.561155	2	unchoose	3	1
43.3703424	2	unchoose	4	1
75.6092018	2	unchoose	2	2
91.641702	2	unchoose	3	3
109.0424728	2	unchoose	4	4
142.5591149	2	unchoose	2	4
200.0341926	2	unchoose	3	4
266.9503912	2	unchoose	2	1
299.9997908	2	unchoose	3	1
34.7370289	2	unchoose	3	4
67.0350352	2	unchoose	2	3
132.0988906	2	unchoose	3	2
168.2456095	2	unchoose	3	3
190.9109567	2	unchoose	1	2
223.508924	2	unchoose	4	1
239.841794	2	unchoose	4	1
255.3553548	2	unchoose	4	2
291.2238461	2	unchoose	3	2
325.7417382	2	unchoose	3	1
341.6241703	2	unchoose	2	1
