onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.9806136	2	easy	4	4	2	1
37.7284209	2	hard	1	1	1	3
60.8180387	2	easy	2	3	2	2
75.8996417	2	easy	1	3	3	2
90.6145664	2	easy	2	2	2	1
105.4634361	2	easy	1	4	3	2
121.8577749	2	hard	3	1	1	3
146.0559	2	easy	1	3	2	2
171.0378071	2	easy	3	4	2	2
192.4363307	2	easy	4	2	2	2
208.3187873	2	hard	2	3	1	1
230.6706325	2	easy	2	2	2	1
247.0870186	2	hard	3	2	1	1
262.6356465	2	easy	1	4	2	2
279.5191445	2	easy	4	3	3	2
298.0134295	2	hard	3	3	1	2
313.4031088	2	easy	3	2	2	1
332.7557836	2	hard	4	2	1	1
351.9099996	2	easy	2	2	2	1
367.4756903	2	hard	3	3	1	2
