onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.9782415	2	hard	4	3	1	2
37.9654011	2	hard	1	2	1	1
53.8141485	2	easy	1	3	3	2
75.6709379	2	easy	4	2	2	1
90.6029809	2	hard	2	1	1	3
111.2211235	2	hard	3	3	1	2
135.7504016	2	easy	2	4	2	3
160.7825914	2	easy	3	2	2	1
176.4360918	2	easy	1	4	2	2
191.8516318	2	easy	2	3	2	1
207.667207	2	easy	2	2	2	1
223.3828667	2	easy	1	1	3	2
238.1309848	2	easy	4	2	2	1
255.7819246	2	hard	1	2	1	2
271.3306365	2	easy	4	4	3	3
289.3821962	2	hard	3	4	1	3
304.2067039	2	hard	2	2	1	1
318.8781697	2	hard	2	2	1	1
335.7282152	2	hard	2	4	1	1
354.5804022	2	easy	1	2	3	2
