onset	duration	trial_type	relevant_rank	irrelevant_rank
10.568321	2	choose	3	1
69.6271514	2	choose	2	2
120.1440834	2	choose	4	4
140.8650093	2	choose	1	3
160.6177826	2	choose	4	4
194.9518875	2	choose	4	2
214.1042261	2	choose	3	4
238.6958077	2	choose	4	3
299.0055929	2	choose	1	2
315.6572518	2	choose	2	1
349.0557795	2	choose	2	2
38.5574555	2	choose	1	3
60.2344721	2	choose	3	3
93.5874019	2	choose	1	4
108.9364944	2	choose	4	1
185.9101765	2	choose	4	3
267.1268791	2	choose	3	4
289.7088418	2	choose	2	3
340.0629933	2	choose	2	4
371.0371809	2	choose	1	3
