onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.305186	2	F2	4.0	2.0	45
34.7370289	2	F2	2.0	1.0	-45
49.4695757	2	F2	4.0	3.0	71.56505118
67.0350352	2	F2	3.0	2.0	63.43494882
81.6509438	2	F2	2.0	2.0	-45
99.0998103	2	F2	1.0	1.0	-45
116.4497578	2	F2	4.0	4.0	-45
132.0988906	2	F2	2.0	3.0	45
150.4836655	2	F2	1.0	4.0	33.69006753
168.2456095	2	F2	2.0	2.0	45
190.9109567	2	F2	4.0	3.0	18.43494882
206.6241263	2	F2	4.0	2.0	-63.43494882
223.508924	2	F2	1.0	4.0	71.56505118
239.841794	2	F2	1.0	4.0	45
255.3553548	2	F2	1.0	3.0	-71.56505118
276.0087855	2	F2	1.0	3.0	-26.56505118
291.2238461	2	F2	2.0	3.0	45
306.2221921	2	F2	3.0	1.0	71.56505118
325.7417382	2	F2	2.0	4.0	45
341.6241703	2	F2	3.0	4.0	45
