onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.214598	2	F2	4.0	1.0	-33.6900675259798
39.2266986	2	F2	2.0	1.0	-71.5650511770780
57.1619343	2	F2	3.0	2.0	-45
72.4942606	2	F2	1.0	3.0	-45
91.1784753	2	F2	2.0	1.0	-45
116.0753053	2	F2	4.0	3.0	63.4349488229220
133.0202792	2	F2	4.0	2.0	-26.5650511770780
152.8066588	2	F2	3.0	4.0	-26.5650511770780
175.5052072	2	F2	4.0	1.0	-45
191.5375385	2	F2	4.0	2.0	-71.5650511770780
209.0127158	2	F2	4.0	1.0	-26.5650511770780
230.4018825	2	F2	3.0	4.0	71.5650511770780
254.1669792	2	F2	4.0	1.0	-45
275.1784637	2	F2	3.0	1.0	-26.5650511770780
297.8012209	2	F2	3.0	3.0	45
316.9201494	2	F2	1.0	1.0	33.6900675259798
331.7350402	2	F2	3.0	3.0	-45
348.852074	2	F2	4.0	4.0	33.6900675259798
369.0388767	2	F2	2.0	3.0	-45
386.9578227	2	F2	2.0	4.0	-18.4349488229220
