onset	duration	trial_type	relevant_rank	irrelevant_rank
29.4837147	2	unchoose	4	1
49.4624471	2	unchoose	1	4
83.1045086	2	unchoose	4	3
104.8923863	2	unchoose	3	3
184.7883704	2	unchoose	4	2
265.9361532	2	unchoose	4	3
287.7578943	2	unchoose	1	1
341.5612458	2	unchoose	4	3
379.2657436	2	unchoose	2	4
17.214598	2	unchoose	1	4
72.4942606	2	unchoose	4	2
133.0202792	2	unchoose	1	3
152.8066588	2	unchoose	2	1
175.5052072	2	unchoose	1	4
209.0127158	2	unchoose	1	4
230.4018825	2	unchoose	2	1
254.1669792	2	unchoose	1	4
316.9201494	2	unchoose	4	4
331.7350402	2	unchoose	2	2
369.0388767	2	unchoose	3	2
