onset	duration	trial_type	relevant_rank	irrelevant_rank
10.571131	2	hard	3	1
29.240683	2	hard	2	3
47.1573606	2	easy	4	1
66.0096288	2	easy	2	1
84.403422	2	hard	3	4
102.1789872	2	hard	4	1
124.7513414	2	easy	4	1
149.5327549	2	easy	1	3
169.8806737	2	easy	3	2
185.411856	2	easy	4	2
201.0274962	2	easy	4	1
216.7941777	2	easy	4	3
232.027915	2	easy	2	3
248.226821	2	hard	2	4
264.8259676	2	easy	1	1
281.6243144	2	hard	4	1
298.0573901	2	hard	3	3
312.8061585	2	hard	3	1
328.5721013	2	hard	1	3
346.4228102	2	easy	4	4
