onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
17.305186	2	easy	1	3	2	2
34.7370289	2	hard	3	4	1	1
49.4695757	2	easy	1	2	3	1
67.0350352	2	easy	2	3	2	1
81.6509438	2	hard	3	3	1	1
99.0998103	2	hard	4	4	1	1
116.4497578	2	easy	1	1	3	3
132.0988906	2	hard	3	2	1	1
150.4836655	2	easy	4	1	2	3
168.2456095	2	hard	3	3	1	1
190.9109567	2	easy	1	2	3	1
206.6241263	2	easy	1	3	2	1
223.508924	2	hard	4	1	1	3
239.841794	2	hard	4	1	1	1
255.3553548	2	easy	4	2	3	1
276.0087855	2	easy	4	2	2	1
291.2238461	2	easy	3	2	2	2
306.2221921	2	hard	2	4	1	3
325.7417382	2	hard	3	1	1	1
341.6241703	2	hard	2	1	1	1
