onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5679804	2	easy	2	3
29.1196846	2	hard	2	4
50.5451319	2	easy	4	1
69.6275883	2	easy	4	1
84.5266463	2	easy	4	3
99.307618	2	easy	4	2
114.9244431	2	hard	4	4
135.2259336	2	easy	3	1
159.8167238	2	easy	1	2
183.0063539	2	easy	2	4
201.6415843	2	hard	1	2
220.7608497	2	easy	4	3
240.1478143	2	hard	2	3
256.1291936	2	easy	3	2
272.3464084	2	easy	1	1
290.0308121	2	hard	2	1
306.9799011	2	easy	1	3
324.3471421	2	hard	3	3
343.6000801	2	easy	4	1
360.9669989	2	hard	2	1
