onset	duration	trial_type	relevant_rank	irrelevant_rank
29.240683	2	choose	2	3
66.0096288	2	choose	2	1
149.5327549	2	choose	1	3
185.411856	2	choose	4	2
201.0274962	2	choose	4	1
232.027915	2	choose	2	3
248.226821	2	choose	2	4
264.8259676	2	choose	1	1
298.0573901	2	choose	3	3
328.5721013	2	choose	1	3
346.4228102	2	choose	4	4
17.9782415	2	choose	4	3
53.8141485	2	choose	1	3
90.6029809	2	choose	2	1
111.2211235	2	choose	3	3
135.7504016	2	choose	2	4
176.4360918	2	choose	1	4
223.3828667	2	choose	1	1
289.3821962	2	choose	3	4
318.8781697	2	choose	2	2
