onset,duration,trial_type,type,EASY,relevant_rank,irrelevant_rank,D,I,E,A
8.0315814,1,2,,,,,,,,
24.6476276,1,1,,,,,,,,
41.44688,1,2,,,,,,,,
57.3455585,1,2,,,,,,,,
74.1792137,1,1,,,,,,,,
91.27916,1,1,,,,,,,,
110.1648869,1,2,,,,,,,,
134.172359,1,2,,,,,,,,
156.6283151,1,2,,,,,,,,
173.7954009,1,1,,,,,,,,
190.7541711,1,2,,,,,,,,
207.3620665,1,1,,,,,,,,
223.0275985,1,2,,,,,,,,
240.8012347,1,2,,,,,,,,
257.7169696,1,1,,,,,,,,
272.682303,1,1,,,,,,,,
287.8087483,1,1,,,,,,,,
305.4467532,1,2,,,,,,,,
325.2798438,1,2,,,,,,,,
342.8803595,1,1,,,,,,,,
10.5660115,2,22,easy,TRUE,3,1,,,,
27.1820487,2,11,hard,FALSE,2,2,,,,
43.9822973,2,22,hard,FALSE,2,4,,,,
59.8812582,2,22,easy,TRUE,2,4,,,,
76.7149474,2,11,easy,TRUE,4,3,,,,
93.8150628,2,11,hard,FALSE,3,3,,,,
112.7004959,2,22,easy,TRUE,4,4,,,,
136.7079451,2,22,easy,TRUE,1,3,,,,
159.1641641,2,22,hard,FALSE,3,3,,,,
176.3305212,2,11,hard,FALSE,3,1,,,,
193.2872796,2,22,hard,FALSE,2,1,,,,
209.8974258,2,11,hard,FALSE,2,2,,,,
225.563014,2,22,easy,TRUE,3,2,,,,
243.3341665,2,22,easy,TRUE,2,3,,,,
260.2494997,2,11,easy,TRUE,1,1,,,,
275.2152544,2,11,easy,TRUE,1,2,,,,
290.3442376,2,11,hard,FALSE,2,4,,,,
307.9798956,2,22,easy,TRUE,4,3,,,,
327.8159885,2,22,hard,FALSE,3,4,,,,
345.415877,2,11,hard,FALSE,3,2,,,,
17.4058841,2,222,easy,TRUE,1,2,2,1,2.236067977,-63.43494882
34.4227673,2,111,hard,FALSE,1,4,1,2,2.236067977,-63.43494882
51.012118,2,222,hard,FALSE,3,3,1,1,1.414213562,-45
66.211645,2,222,easy,TRUE,4,3,2,1,2.236067977,-63.43494882
84.6770092,2,111,easy,TRUE,2,1,2,2,2.828427125,45
100.4259267,2,111,hard,FALSE,4,1,1,2,2.236067977,-63.43494882
122.4435169,2,222,easy,TRUE,1,2,3,2,3.605551275,56.30993247
148.4360766,2,222,easy,TRUE,4,1,3,2,3.605551275,-56.30993247
167.3549418,2,222,hard,FALSE,2,4,1,1,1.414213562,-45
182.7710038,2,111,hard,FALSE,2,4,1,3,3.16227766,-71.56505118
201.2696115,2,222,hard,FALSE,1,4,1,3,3.16227766,-18.43494882
215.9866966,2,111,hard,FALSE,1,3,1,1,1.414213562,-45
232.603214,2,222,easy,TRUE,1,1,2,1,2.236067977,63.43494882
251.5335705,2,222,easy,TRUE,4,4,2,1,2.236067977,63.43494882
266.4328168,2,111,easy,TRUE,3,2,2,1,2.236067977,26.56505118
281.4518616,2,111,easy,TRUE,3,1,2,1,2.236067977,-26.56505118
296.7005429,2,111,hard,FALSE,1,3,1,1,1.414213562,45
316.7371186,2,222,easy,TRUE,1,4,3,1,3.16227766,-71.56505118
336.3566675,2,222,hard,FALSE,4,3,1,1,1.414213562,-45
351.9437143,2,111,hard,FALSE,2,4,1,2,2.236067977,-63.43494882
