onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5660115	2	choose	3	1
59.8812582	2	choose	2	4
93.8150628	2	choose	3	3
193.2872796	2	choose	2	1
225.563014	2	choose	3	2
243.3341665	2	choose	2	3
260.2494997	2	choose	1	1
275.2152544	2	choose	1	2
345.415877	2	choose	3	2
34.4227673	2	choose	1	4
51.012118	2	choose	3	3
84.6770092	2	choose	2	1
122.4435169	2	choose	1	2
148.4360766	2	choose	4	1
167.3549418	2	choose	2	4
182.7710038	2	choose	2	4
215.9866966	2	choose	1	3
296.7005429	2	choose	1	3
316.7371186	2	choose	1	4
336.3566675	2	choose	4	3
