onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5648377	2	easy	3	1
29.4837147	2	hard	4	1
49.4624471	2	hard	1	4
66.0948881	2	easy	2	4
83.1045086	2	hard	4	3
104.8923863	2	easy	3	3
125.8131189	2	easy	3	2
144.1814526	2	hard	1	3
165.4221516	2	easy	4	1
184.7883704	2	easy	4	2
201.5384226	2	easy	3	3
220.9745021	2	hard	3	4
243.55059	2	hard	2	3
265.9361532	2	easy	4	3
287.7578943	2	hard	1	1
308.6288332	2	easy	2	1
325.596022	2	hard	3	1
341.5612458	2	easy	4	3
360.2142525	2	hard	2	3
379.2657436	2	hard	2	4
