onset	duration	trial_type	relevant_rank	irrelevant_rank
10.5648377	2	choose	3	1
66.0948881	2	choose	2	4
125.8131189	2	choose	3	2
144.1814526	2	choose	1	3
165.4221516	2	choose	4	1
201.5384226	2	choose	3	3
220.9745021	2	choose	3	4
243.55059	2	choose	2	3
308.6288332	2	choose	2	1
325.596022	2	choose	3	1
360.2142525	2	choose	2	3
39.2266986	2	choose	3	4
57.1619343	2	choose	2	3
91.1784753	2	choose	3	4
116.0753053	2	choose	1	2
191.5375385	2	choose	1	3
275.1784637	2	choose	2	4
297.8012209	2	choose	2	2
348.852074	2	choose	1	1
386.9578227	2	choose	3	1
