onset	duration	trial_type	relevant_rank	irrelevant_rank	A
18.7595894	2	F2	1.0	3.0	45
38.5574555	2	F2	4.0	2.0	-63.4349488229220
60.2344721	2	F2	2.0	2.0	-63.4349488229220
76.4843429	2	F2	1.0	4.0	-26.5650511770780
93.5874019	2	F2	4.0	1.0	-45
108.9364944	2	F2	1.0	4.0	-71.5650511770780
128.8192418	2	F2	2.0	3.0	63.4349488229220
150.3742308	2	F2	2.0	1.0	63.4349488229220
168.3334156	2	F2	4.0	2.0	18.4349488229220
185.9101765	2	F2	1.0	2.0	-26.5650511770780
201.4641798	2	F2	4.0	4.0	18.4349488229220
224.1975331	2	F2	1.0	3.0	-63.4349488229220
250.6614012	2	F2	2.0	3.0	45
267.1268791	2	F2	2.0	1.0	45
289.7088418	2	F2	3.0	2.0	63.4349488229220
305.7621616	2	F2	2.0	1.0	45
323.0129688	2	F2	4.0	3.0	-45
340.0629933	2	F2	3.0	1.0	-33.6900675259798
355.5117407	2	F2	1.0	1.0	45
371.0371809	2	F2	4.0	2.0	-63.4349488229220
