onset	duration	trial_type	relevant_rank	irrelevant_rank	D	I
18.7595894	2	hard	4	2	1	1
38.5574555	2	easy	1	3	2	1
60.2344721	2	easy	3	3	2	1
76.4843429	2	easy	4	1	2	1
93.5874019	2	easy	1	4	3	3
108.9364944	2	easy	4	1	3	1
128.8192418	2	hard	3	2	1	2
150.3742308	2	easy	3	4	2	1
168.3334156	2	easy	1	3	3	1
185.9101765	2	easy	4	3	2	1
201.4641798	2	easy	1	1	3	1
224.1975331	2	hard	4	2	1	2
250.6614012	2	hard	3	2	1	1
267.1268791	2	hard	3	4	1	1
289.7088418	2	hard	2	3	1	2
305.7621616	2	easy	3	4	2	2
323.0129688	2	hard	1	2	1	1
340.0629933	2	easy	2	4	2	3
355.5117407	2	easy	4	4	2	2
371.0371809	2	hard	1	3	1	2
