onset	duration	trial_type	relevant_rank	irrelevant_rank
10.561155	2	easy	3	1
27.294356	2	hard	2	3
43.3703424	2	easy	4	1
59.527415	2	easy	4	2
75.6092018	2	hard	2	2
91.641702	2	hard	3	3
109.0424728	2	easy	4	4
125.5423458	2	hard	4	1
142.5591149	2	easy	2	4
160.6296553	2	hard	2	4
180.8473334	2	easy	4	1
200.0341926	2	easy	3	4
216.3326792	2	hard	3	4
232.9421966	2	hard	3	2
248.865014	2	easy	1	1
266.9503912	2	easy	2	1
284.8843212	2	easy	1	4
299.9997908	2	hard	3	1
317.2532473	2	hard	2	2
334.9523305	2	hard	1	2
