,id,roi,model,TR,var
144,23,mPFC,E,547,0.172528784
145,24,Amy_L,E,547,0.086392048
146,24,Amy_R,E,547,0.113952182
147,24,EC_L,E,547,0.501936506
148,24,EC_R,E,547,0.219894131
149,24,Hippo_L,E,547,0.067300393
150,24,Hippo_R,E,547,0.04882131
151,24,M1l,E,547,0.065291346
152,24,M1r,E,547,0.248308884
153,24,mPFC,E,547,0.088951564
154,25,Amy_L,E,547,0.256312777
155,25,Amy_R,E,547,0.128105536
156,25,EC_L,E,547,0.56539707
157,25,EC_R,E,547,0.268159791
158,25,Hippo_L,E,547,0.105001954
159,25,Hippo_R,E,547,0.088831937
160,25,M1l,E,547,0.084623089
161,25,M1r,E,547,0.173254228
162,25,mPFC,E,547,0.088602453
163,26,Amy_L,E,547,0.145521846
164,26,Amy_R,E,547,0.349515333
165,26,EC_L,E,547,0.364083033
166,26,EC_R,E,547,0.266594787
167,26,Hippo_L,E,547,0.070983878
168,26,Hippo_R,E,547,0.072382849
169,26,M1l,E,547,0.056916343
170,26,M1r,E,547,0.082601311
171,26,mPFC,E,547,0.114568557
172,27,Amy_L,E,547,0.175490168
173,27,Amy_R,E,547,0.52320467
174,27,EC_L,E,547,2.730135524
175,27,EC_R,E,547,0.961397085
176,27,Hippo_L,E,547,0.16882842
177,27,Hippo_R,E,547,0.221879228
178,27,M1l,E,547,0.167303053
179,27,M1r,E,547,0.153041128
180,27,mPFC,E,547,0.771936035
181,28,Amy_L,E,547,0.115861923
182,28,Amy_R,E,547,0.159987369
183,28,EC_L,E,547,2.596020136
184,28,EC_R,E,547,0.425484066
185,28,Hippo_L,E,547,0.061783251
186,28,Hippo_R,E,547,0.073708213
187,28,M1l,E,547,0.08085095
188,28,M1r,E,547,0.101003688
189,28,mPFC,E,547,0.101788174
190,29,Amy_L,E,547,0.111794867
191,29,Amy_R,E,547,0.116192828
192,29,EC_L,E,547,1.052947375
193,29,EC_R,E,547,0.347791921
194,29,Hippo_L,E,547,0.060054432
195,29,Hippo_R,E,547,0.053095322
196,29,M1l,E,547,0.053358818
197,29,M1r,E,547,0.185784248
198,29,mPFC,E,547,0.224202813
199,30,Amy_L,E,547,0.151816233
200,30,Amy_R,E,547,0.194702918
201,30,EC_L,E,547,0.71501019
202,30,EC_R,E,547,0.26519964
203,30,Hippo_L,E,547,0.073991571
204,30,Hippo_R,E,547,0.053638281
205,30,M1l,E,547,0.03063171
