,id,roi,model,TR,var
173,25,EC_L,I,1112,0.869149735
174,25,EC_R,I,1112,0.522095085
175,25,Hippo_L,I,1112,0.182883244
176,25,Hippo_R,I,1112,0.080900433
177,25,M1l,I,1112,0.117390808
178,25,M1r,I,1112,0.105241508
179,25,mPFC,I,1112,0.128889104
181,26,Amy_L,I,1112,0.134132887
182,26,Amy_R,I,1112,0.595613145
183,26,EC_L,I,1112,0.350821381
184,26,EC_R,I,1112,0.294622826
185,26,Hippo_L,I,1112,0.069605628
186,26,Hippo_R,I,1112,0.077231058
187,26,M1l,I,1112,0.060375411
188,26,M1r,I,1112,0.102614199
189,26,mPFC,I,1112,0.151190693
191,27,Amy_L,I,1112,0.166314606
192,27,Amy_R,I,1112,0.364998401
193,27,EC_L,I,1112,3.562882711
194,27,EC_R,I,1112,0.609220697
195,27,Hippo_L,I,1112,0.184863158
196,27,Hippo_R,I,1112,0.1963497
197,27,M1l,I,1112,0.090364682
198,27,M1r,I,1112,0.120427498
199,27,mPFC,I,1112,0.863026864
201,28,Amy_L,I,1112,0.237665053
202,28,Amy_R,I,1112,0.190693399
203,28,EC_L,I,1112,2.490618567
204,28,EC_R,I,1112,0.416087352
205,28,Hippo_L,I,1112,0.34615951
206,28,Hippo_R,I,1112,0.155792788
207,28,M1l,I,1112,0.333735729
208,28,M1r,I,1112,0.130782282
209,28,mPFC,I,1112,0.115285654
211,29,Amy_L,I,1112,0.096216631
212,29,Amy_R,I,1112,0.061402721
213,29,EC_L,I,1112,0.438271592
214,29,EC_R,I,1112,0.14630462
215,29,Hippo_L,I,1112,0.063762664
216,29,Hippo_R,I,1112,0.038106692
217,29,M1l,I,1112,0.035853852
218,29,M1r,I,1112,0.086510601
219,29,mPFC,I,1112,0.055860832
221,30,Amy_L,I,1112,0.149312945
222,30,Amy_R,I,1112,0.223660842
223,30,EC_L,I,1112,0.684280413
224,30,EC_R,I,1112,0.351802653
225,30,Hippo_L,I,1112,0.090500168
226,30,Hippo_R,I,1112,0.046265638
227,30,M1l,I,1112,0.037047939
228,30,M1r,I,1112,0.065247997
229,30,mPFC,I,1112,0.05790416
231,31,Amy_L,I,1112,0.283416688
232,31,Amy_R,I,1112,0.849374007
233,31,EC_L,I,1112,1.388779858
234,31,EC_R,I,1112,0.651365094
235,31,Hippo_L,I,1112,0.062777418
236,31,Hippo_R,I,1112,0.06287186
237,31,M1l,I,1112,0.051412469
238,31,M1r,I,1112,0.06561247
239,31,mPFC,I,1112,0.189154676
