,id,roi,model,TR,var
173,25,EC_L,D,1112,0.863301327
174,25,EC_R,D,1112,0.521832566
175,25,Hippo_L,D,1112,0.18287971
176,25,Hippo_R,D,1112,0.080745176
177,25,M1l,D,1112,0.117377676
178,25,M1r,D,1112,0.105412478
179,25,mPFC,D,1112,0.12925462
181,26,Amy_L,D,1112,0.132516757
182,26,Amy_R,D,1112,0.588709896
183,26,EC_L,D,1112,0.350719235
184,26,EC_R,D,1112,0.292499053
185,26,Hippo_L,D,1112,0.069516697
186,26,Hippo_R,D,1112,0.076647475
187,26,M1l,D,1112,0.06040124
188,26,M1r,D,1112,0.102986577
189,26,mPFC,D,1112,0.147809774
191,27,Amy_L,D,1112,0.166317377
192,27,Amy_R,D,1112,0.364262599
193,27,EC_L,D,1112,3.559223298
194,27,EC_R,D,1112,0.607818931
195,27,Hippo_L,D,1112,0.183693353
196,27,Hippo_R,D,1112,0.194746457
197,27,M1l,D,1112,0.090327572
198,27,M1r,D,1112,0.120487747
199,27,mPFC,D,1112,0.862994247
201,28,Amy_L,D,1112,0.2336568
202,28,Amy_R,D,1112,0.190024332
203,28,EC_L,D,1112,2.470412618
204,28,EC_R,D,1112,0.411123494
205,28,Hippo_L,D,1112,0.346240442
206,28,Hippo_R,D,1112,0.153983032
207,28,M1l,D,1112,0.324927614
208,28,M1r,D,1112,0.127641841
209,28,mPFC,D,1112,0.115352686
211,29,Amy_L,D,1112,0.096226086
212,29,Amy_R,D,1112,0.061554883
213,29,EC_L,D,1112,0.434886943
214,29,EC_R,D,1112,0.146875944
215,29,Hippo_L,D,1112,0.064208327
216,29,Hippo_R,D,1112,0.038371714
217,29,M1l,D,1112,0.035797777
218,29,M1r,D,1112,0.086862283
219,29,mPFC,D,1112,0.055979546
221,30,Amy_L,D,1112,0.149494845
222,30,Amy_R,D,1112,0.224784702
223,30,EC_L,D,1112,0.688821287
224,30,EC_R,D,1112,0.351305802
225,30,Hippo_L,D,1112,0.090332063
226,30,Hippo_R,D,1112,0.046444122
227,30,M1l,D,1112,0.036997328
228,30,M1r,D,1112,0.065504367
229,30,mPFC,D,1112,0.057879453
231,31,Amy_L,D,1112,0.283355183
232,31,Amy_R,D,1112,0.847747095
233,31,EC_L,D,1112,1.388792622
234,31,EC_R,D,1112,0.65142292
235,31,Hippo_L,D,1112,0.062563826
236,31,Hippo_R,D,1112,0.062908824
237,31,M1l,D,1112,0.051442492
238,31,M1r,D,1112,0.065505636
239,31,mPFC,D,1112,0.188567522
