,id,roi,model,TR,var
173,25,EC_L,D2,547,0.565355073
174,25,EC_R,D2,547,0.268089668
175,25,Hippo_L,D2,547,0.104299941
176,25,Hippo_R,D2,547,0.088820467
177,25,M1l,D2,547,0.084506182
178,25,M1r,D2,547,0.172926166
179,25,mPFC,D2,547,0.088476727
181,26,Amy_L,D2,547,0.145477339
182,26,Amy_R,D2,547,0.349555265
183,26,EC_L,D2,547,0.36130163
184,26,EC_R,D2,547,0.26666888
185,26,Hippo_L,D2,547,0.071292936
186,26,Hippo_R,D2,547,0.072702753
187,26,M1l,D2,547,0.056959987
188,26,M1r,D2,547,0.082935496
189,26,mPFC,D2,547,0.11419938
191,27,Amy_L,D2,547,0.177838772
192,27,Amy_R,D2,547,0.523114608
193,27,EC_L,D2,547,2.748813978
194,27,EC_R,D2,547,0.955835287
195,27,Hippo_L,D2,547,0.16963164
196,27,Hippo_R,D2,547,0.220855712
197,27,M1l,D2,547,0.167299248
198,27,M1r,D2,547,0.150544009
199,27,mPFC,D2,547,0.76894674
201,28,Amy_L,D2,547,0.115853221
202,28,Amy_R,D2,547,0.159881128
203,28,EC_L,D2,547,2.577834791
204,28,EC_R,D2,547,0.423762565
205,28,Hippo_L,D2,547,0.061696367
206,28,Hippo_R,D2,547,0.073654217
207,28,M1l,D2,547,0.080882647
208,28,M1r,D2,547,0.101141068
209,28,mPFC,D2,547,0.101739578
211,29,Amy_L,D2,547,0.112136144
212,29,Amy_R,D2,547,0.115946014
213,29,EC_L,D2,547,1.057168695
214,29,EC_R,D2,547,0.347495468
215,29,Hippo_L,D2,547,0.060261847
216,29,Hippo_R,D2,547,0.05297692
217,29,M1l,D2,547,0.053433435
218,29,M1r,D2,547,0.184979426
219,29,mPFC,D2,547,0.223498358
221,30,Amy_L,D2,547,0.149589314
222,30,Amy_R,D2,547,0.19422475
223,30,EC_L,D2,547,0.715555732
224,30,EC_R,D2,547,0.266509641
225,30,Hippo_L,D2,547,0.074082782
226,30,Hippo_R,D2,547,0.053672711
227,30,M1l,D2,547,0.030758914
228,30,M1r,D2,547,0.05921931
229,30,mPFC,D2,547,0.050737234
231,31,Amy_L,D2,547,0.302189281
232,31,Amy_R,D2,547,0.416300088
233,31,EC_L,D2,547,1.958398936
234,31,EC_R,D2,547,0.622628362
235,31,Hippo_L,D2,547,0.112026353
236,31,Hippo_R,D2,547,0.073406443
237,31,M1l,D2,547,0.049160107
238,31,M1r,D2,547,0.067943725
239,31,mPFC,D2,547,0.166283628
