,id,roi,model,TR,var
1,1,Amy_L,D1,540,0.119546217
2,1,Amy_R,D1,540,0.170716991
3,1,EC_L,D1,540,2.3432501
4,1,EC_R,D1,540,0.886022725
5,1,Hippo_L,D1,540,0.093548272
6,1,Hippo_R,D1,540,0.091599194
7,1,M1l,D1,540,0.100897346
8,1,M1r,D1,540,0.075132636
9,1,mPFC,D1,540,0.212236869
11,2,Amy_L,D1,540,0.237110905
12,2,Amy_R,D1,540,0.219831413
13,2,EC_L,D1,540,0.705305919
14,2,EC_R,D1,540,0.801770424
15,2,Hippo_L,D1,540,0.105343486
16,2,Hippo_R,D1,540,0.040007764
17,2,M1l,D1,540,0.108783646
18,2,M1r,D1,540,0.441387704
19,2,mPFC,D1,540,0.169364138
21,3,Amy_L,D1,540,0.13743052
22,3,Amy_R,D1,540,0.135824988
23,3,EC_L,D1,540,0.95022364
24,3,EC_R,D1,540,2.137991552
25,3,Hippo_L,D1,540,0.058304597
26,3,Hippo_R,D1,540,0.081838391
27,3,M1l,D1,540,0.062737788
28,3,M1r,D1,540,0.084011625
29,3,mPFC,D1,540,0.151152696
31,4,Amy_L,D1,540,0.778837457
32,4,Amy_R,D1,540,0.64642046
33,4,EC_L,D1,540,1.847073824
34,4,EC_R,D1,540,1.860396492
35,4,Hippo_L,D1,540,0.240434478
36,4,Hippo_R,D1,540,0.342783743
37,4,M1l,D1,540,0.241192205
38,4,M1r,D1,540,0.287793899
39,4,mPFC,D1,540,0.076114275
41,6,Amy_L,D1,540,0.081600289
42,6,Amy_R,D1,540,0.123540654
43,6,EC_L,D1,540,0.861612808
44,6,EC_R,D1,540,1.059696746
45,6,Hippo_L,D1,540,0.114856014
46,6,Hippo_R,D1,540,0.109690987
47,6,M1l,D1,540,0.16377714
48,6,M1r,D1,540,0.157472799
49,6,mPFC,D1,540,0.20286173
51,7,Amy_L,D1,547,0.412417451
52,7,Amy_R,D1,547,0.50435186
53,7,EC_L,D1,547,3.634828739
54,7,EC_R,D1,547,4.352195204
55,7,Hippo_L,D1,547,0.116118025
56,7,Hippo_R,D1,547,0.153150339
57,7,M1l,D1,547,0.158562289
58,7,M1r,D1,547,0.181509442
59,7,mPFC,D1,547,0.335831568
61,9,Amy_L,D1,547,0.613020817
62,9,Amy_R,D1,547,0.245097855
63,9,EC_L,D1,547,3.691658435
64,9,EC_R,D1,547,3.712328336
65,9,Hippo_L,D1,547,0.323643022
66,9,Hippo_R,D1,547,0.179638994
67,9,M1l,D1,547,0.248204899
68,9,M1r,D1,547,0.315769555
69,9,mPFC,D1,547,0.760677949
71,10,Amy_L,D1,547,0.47287463
72,10,Amy_R,D1,547,0.748925196
73,10,EC_L,D1,547,2.809925372
74,10,EC_R,D1,547,4.208227214
75,10,Hippo_L,D1,547,0.235110133
76,10,Hippo_R,D1,547,0.558809424
77,10,M1l,D1,547,0.287627049
