,id,roi,model,TR,var
173,25,EC_L,diag,547,0.567010109
174,25,EC_R,diag,547,0.269389038
175,25,Hippo_L,diag,547,0.104485886
176,25,Hippo_R,diag,547,0.088215848
177,25,M1l,diag,547,0.084317658
178,25,M1r,diag,547,0.171490604
179,25,mPFC,diag,547,0.088163378
181,26,Amy_L,diag,547,0.145398497
182,26,Amy_R,diag,547,0.349727698
183,26,EC_L,diag,547,0.36472795
184,26,EC_R,diag,547,0.266042337
185,26,Hippo_L,diag,547,0.07135272
186,26,Hippo_R,diag,547,0.072725787
187,26,M1l,diag,547,0.057057969
188,26,M1r,diag,547,0.082445212
189,26,mPFC,diag,547,0.114042691
191,27,Amy_L,diag,547,0.177119069
192,27,Amy_R,diag,547,0.522720068
193,27,EC_L,diag,547,2.730149148
194,27,EC_R,diag,547,0.969245505
195,27,Hippo_L,diag,547,0.168153275
196,27,Hippo_R,diag,547,0.221495806
197,27,M1l,diag,547,0.166745112
198,27,M1r,diag,547,0.153392827
199,27,mPFC,diag,547,0.771082503
201,28,Amy_L,diag,547,0.115714557
202,28,Amy_R,diag,547,0.159949339
203,28,EC_L,diag,547,2.611836515
204,28,EC_R,diag,547,0.425040272
205,28,Hippo_L,diag,547,0.061568471
206,28,Hippo_R,diag,547,0.073546688
207,28,M1l,diag,547,0.081888879
208,28,M1r,diag,547,0.101444585
209,28,mPFC,diag,547,0.101840501
211,29,Amy_L,diag,547,0.111526631
212,29,Amy_R,diag,547,0.115292438
213,29,EC_L,diag,547,1.056863646
214,29,EC_R,diag,547,0.341884587
215,29,Hippo_L,diag,547,0.060297727
216,29,Hippo_R,diag,547,0.052642181
217,29,M1l,diag,547,0.053553622
218,29,M1r,diag,547,0.181899436
219,29,mPFC,diag,547,0.224391514
221,30,Amy_L,diag,547,0.153566187
222,30,Amy_R,diag,547,0.194948411
223,30,EC_L,diag,547,0.714557129
224,30,EC_R,diag,547,0.265634865
225,30,Hippo_L,diag,547,0.074179111
226,30,Hippo_R,diag,547,0.053625245
227,30,M1l,diag,547,0.030753224
228,30,M1r,diag,547,0.059850718
229,30,mPFC,diag,547,0.050908602
231,31,Amy_L,diag,547,0.302781398
232,31,Amy_R,diag,547,0.416291983
233,31,EC_L,diag,547,1.96409897
234,31,EC_R,diag,547,0.621532152
235,31,Hippo_L,diag,547,0.111507241
236,31,Hippo_R,diag,547,0.073294106
237,31,M1l,diag,547,0.049107387
238,31,M1r,diag,547,0.068043778
239,31,mPFC,diag,547,0.167647082
