family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,MFGl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.2726758702,0.1973581895,0.1989080109,1,False
representational_warping,IPL_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,0.2660435125,0.2089133554,0.2016479835,1,False
representational_warping,IPL_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.271219623,0.1998572202,0.2044579554,1,False
representational_warping,IPLr,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.2706527577,0.2008357875,0.2063779362,1,False
representational_warping,ECr,congruent,wCue,raw,wCue_raw_congruent,24,0.262918369,0.2145128836,0.216897831,1,False
representational_warping,mPFC,congruent,wCue,raw,wCue_raw_congruent,24,0.25553699,0.2281352258,0.2200077999,1,False
representational_warping,IPLr,attention,rbCue,raw,rbCue_raw_attention,24,0.2568207028,0.225725953,0.2258377416,1,False
representational_warping,HCl,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.2549548441,0.229233389,0.2273877261,1,False
representational_warping,precuneusl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.2581423131,0.2232632595,0.228697713,1,False
representational_warping,precuneusl,congruent,wCue,raw,wCue_raw_congruent,24,0.2462715378,0.2460291449,0.2343576564,1,False
representational_warping,mPFC,attention,rbCue,raw,rbCue_raw_attention,24,0.2505902695,0.2375781133,0.2395676043,1,False
representational_warping,Amyl,congruent,rbCue,raw,rbCue_raw_congruent,24,0.2484780738,0.2416871783,0.2448275517,1,False
representational_warping,precuneusr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.24466572,0.2492207952,0.2493675063,1,False
representational_warping,HCr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.2423456287,0.2538794202,0.2540474595,1,False
representational_warping,ECl,attention,wCue,adjusted,wCue_adjusted_attention,24,0.2405574952,0.2575081027,0.2578074219,1,False
representational_warping,Insulal,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.2305087527,0.2785198668,0.2775672243,1,False
representational_warping,HCl,attention,wCue,raw,wCue_raw_attention,24,-0.2293707903,0.280965725,0.2790772092,1,False
representational_warping,ECl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.2266047374,0.2869672359,0.2830271697,1,False
representational_warping,precuneusr,attention,rbCue,raw,rbCue_raw_attention,24,-0.2272815264,0.2854914275,0.2860571394,1,False
representational_warping,precuneusr,attention,wCue,adjusted,wCue_adjusted_attention,24,0.2151713629,0.312620677,0.3110268897,1,False
representational_warping,HCr,attention,rbCue,raw,rbCue_raw_attention,24,0.2145482135,0.3140579651,0.3146468535,1,False
representational_warping,HCl,congruent,wCue,raw,wCue_raw_congruent,24,0.2073556967,0.3309390075,0.322396776,1,False
representational_warping,mPFC,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.21237576,0.3191002468,0.3238267617,1,False
representational_warping,Amy_bilateral,attention,wCue,raw,wCue_raw_attention,24,-0.2105566221,0.3233601481,0.3241367586,1,False
representational_warping,IPLr,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.2025239323,0.3425796093,0.3488865111,1,False
representational_warping,IPLl,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.19958837,0.3497691995,0.3493665063,1,False
representational_warping,HCr,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1958009853,0.3591753914,0.359396406,1,False
representational_warping,IPLl,congruent,wCue,raw,wCue_raw_congruent,24,0.1917006159,0.3695236853,0.3707262927,1,False
representational_warping,Insula_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.1899436957,0.3740098839,0.3734262657,1,False
representational_warping,MFG_bilateral,congruent,rbCue,adjusted,rbCue_adjusted_congruent,24,-0.1888283803,0.3768739603,0.377496225,1,False
representational_warping,Amyr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1834429857,0.3908793568,0.3862761372,1,False
representational_warping,MFGl,congruent,wCue,raw,wCue_raw_congruent,24,0.1785991114,0.4037236777,0.4011359886,1,False
representational_warping,IPL_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.1788650311,0.4030125165,0.4070859291,1,False
representational_warping,Amy_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.1720753931,0.4213879234,0.4155058449,1,False
representational_warping,Amy_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.1739495207,0.416270723,0.4161258387,1,False
representational_warping,Insulal,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1718345801,0.4220479276,0.4220157798,1,False
representational_warping,ECr,attention,rbCue,raw,rbCue_raw_attention,24,0.1687245234,0.4306222273,0.430895691,1,False
representational_warping,IPL_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.1684454901,0.4313960752,0.4353056469,1,False
representational_warping,Insula_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1626065503,0.4477602234,0.4443355566,1,False
representational_warping,HC_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,0.1584940079,0.4594797894,0.4587854121,1,False
representational_warping,EC_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1541535733,0.4720198591,0.4719852801,1,False
representational_warping,Amy_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,0.1532232911,0.4747301794,0.4747252527,1,False
representational_warping,IPL_bilateral,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.1530466644,0.4752456662,0.4797052029,1,False
representational_warping,MFGl,attention,rbCue,raw,rbCue_raw_attention,24,0.1505321949,0.4826150412,0.4807151928,1,False
representational_warping,precuneus_bilateral,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1500003727,0.4841810589,0.4879151208,1,False
representational_warping,MFGr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.1487258886,0.48794434,0.4905350946,1,False
representational_warping,IPLl,attention,wCue,raw,wCue_raw_attention,24,-0.1434023341,0.5038208506,0.5036349637,1,False
representational_warping,ECr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1394795637,0.515679724,0.5148848512,1,False
representational_warping,IPLr,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1388509693,0.5175924532,0.5168348317,1,False
representational_warping,IPLr,attention,wCue,raw,wCue_raw_attention,24,0.1391347006,0.516728674,0.5191448086,1,False
representational_warping,ECl,congruent,wCue,adjusted,wCue_adjusted_congruent,24,-0.1362608221,0.5255097657,0.526204738,1,False
representational_warping,HC_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,0.1281787964,0.5505781657,0.5519744803,1,False
