family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,chrel_putamen_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2855838448,0.176134209,0.1763482365,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2847602744,0.1774390175,0.1765482345,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.2774193416,0.1893657883,0.1913580864,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.2742257647,0.1947219039,0.1939480605,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_r,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2728036218,0.1971399773,0.1939680603,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2667451365,0.2076698754,0.2052779472,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.2678999014,0.2056341854,0.2071079289,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,-0.2659202208,0.2091323809,0.2099079009,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2631658081,0.2140659002,0.2107478925,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.260606567,0.2187192442,0.2197778022,1,False
time_resolved_roi_coding,wCue,F2diagdiff_insula_l,F2_diag,diag,choice_effect_legacy_gaussian_glm,24,0.2556145448,0.2279891895,0.224597754,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.256089485,0.2270962239,0.2271777282,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.256089485,0.2270962239,0.2271777282,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_I,rel,choice_effect_legacy_gaussian_glm,24,-0.2532844314,0.2324038571,0.2320876791,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.256419796,0.226476554,0.2354576454,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.2473518161,0.2438970915,0.2421675783,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.242300481,0.2539706295,0.2543774562,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.242300481,0.2539706295,0.2543774562,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.234319272,0.270428183,0.2661073389,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.235059998,0.2688728281,0.2684773152,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.2284866709,0.2828753189,0.2801671983,1,False
time_resolved_roi_coding,rbCue,F2rel_precnetral_l,F2_D,irrel,choice_effect_legacy_gaussian_glm,24,0.2250752561,0.2903200328,0.2918370816,1,False
time_resolved_roi_coding,wCue,undiagdiff_insula_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.2079752971,0.3294637023,0.3264567354,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,0.2050102032,0.336559674,0.3378566214,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.2031529865,0.3410504863,0.3452365476,1,False
