family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
representational_warping,wCue,precuneusr,congruent,wCue_raw_congruent,raw,24,0.3495446703,0.09407377167,0.09456905431,1,False
representational_warping,rbCue,Insula_bilateral,congruent,rbCue_adjusted_congruent,adjusted,24,-0.3478780364,0.09576026673,0.09504904951,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.348099435,0.09553494324,0.09553904461,1,False
representational_warping,rbCue,HC_bilateral,congruent,rbCue_raw_congruent,raw,24,0.3469195609,0.09674029754,0.09784902151,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3438931148,0.09988376486,0.1007489925,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.3414121759,0.1025165985,0.10199898,1,False
representational_warping,wCue,EC_bilateral,attention,wCue_raw_attention,raw,24,-0.3389541531,0.1051753804,0.1046189538,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.3373182968,0.1069728184,0.1071689283,1,False
representational_warping,rbCue,Amyr,attention,rbCue_adjusted_attention,adjusted,24,0.3338251283,0.1108866048,0.1103888961,1,False
time_resolved_roi_coding,rbCue,D_precuneus_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3317678722,0.1132401905,0.1146188538,1,False
representational_warping,wCue,Amyl,attention,wCue_raw_attention,raw,24,-0.3301978922,0.1150607727,0.1151488485,1,False
representational_warping,wCue,HC_bilateral,congruent,wCue_adjusted_congruent,adjusted,24,-0.3280592416,0.1175751062,0.1155288447,1,False
representational_warping,wCue,Insular,attention,wCue_raw_attention,raw,24,-0.3304833003,0.1147282261,0.1157188428,1,False
time_resolved_roi_coding,wCue,undiagdiff_IPL_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.328349432,0.11723161,0.1171088289,1,False
representational_warping,rbCue,Insular,attention,rbCue_raw_attention,raw,24,0.3257564714,0.1203269507,0.1197888021,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_D,rel,choice_effect_legacy_gaussian_glm,24,0.3231801066,0.1234609676,0.1228087719,1,False
representational_warping,wCue,EC_bilateral,congruent,wCue_raw_congruent,raw,24,0.3217214119,0.1252614422,0.1263887361,1,False
representational_warping,wCue,ECl,congruent,wCue_raw_congruent,raw,24,0.3181158624,0.1297932894,0.1304386956,1,False
representational_warping,wCue,Insulal,attention,wCue_raw_attention,raw,24,-0.3165460598,0.1318029145,0.1306186938,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.3095991733,0.1409655917,0.1403185968,1,False
time_resolved_roi_coding,rbCue,I_precentral_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3091962931,0.1415105831,0.1410085899,1,False
representational_warping,wCue,precuneus_bilateral,congruent,wCue_raw_congruent,raw,24,0.3084476136,0.1425273448,0.1423285767,1,False
representational_warping,rbCue,Insular,congruent,rbCue_adjusted_congruent,adjusted,24,-0.3086064636,0.1423111804,0.1439585604,1,False
time_resolved_roi_coding,wCue,F2diagdiff_insula_l,F2_diagdiff,diag,choice_effect_legacy_gaussian_glm,24,-0.303728254,0.1490568041,0.147398526,1,False
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_rel,irrel,choice_effect_legacy_gaussian_glm,24,0.3045768723,0.1478673303,0.1484485155,1,False
